[2026-05-11 11:04:27] Class 13 (Walk-circle) 软标签生成开始
[2026-05-11 11:04:27]   QUICK=False LIMIT=50
[2026-05-11 11:04:27]   温度=0.8 (from api_config)
[2026-05-11 11:04:27]   本类: 818窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:27]   实际生成: 818 窗口
[2026-05-11 11:05:29] #0001/00818 | true=Walk-circle(13) | pred=Talk-stand(3) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 16:27:30] #0542/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.913 | conf=0.780 | gap=0.730
[2026-05-11 16:27:46] #0543/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 16:28:22] #0544/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 16:28:47] #0545/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.776 | conf=0.820 | gap=0.770
[2026-05-11 16:29:26] #0546/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.442 | conf=0.900 | gap=0.850
[2026-05-11 16:30:02] #0547/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 16:30:32] #0548/00818 | true=Walk-circle(13) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:30:52] #0549/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.158 | conf=0.600 | gap=0.400
[2026-05-11 16:31:48] #0550/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 16:32:49] #0551/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 16:33:19] #0552/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.621 | conf=0.850 | gap=0.770
[2026-05-11 16:34:31] #0553/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.431 | conf=0.900 | gap=0.860
[2026-05-11 16:35:09] #0554/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=1.434 | conf=0.450 | gap=0.250
[2026-05-11 16:36:02] #0555/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 16:36:32] #0556/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 16:37:13] #0557/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:37:56] #0558/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:38:36] #0559/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.472 | conf=0.500 | gap=0.350
[2026-05-11 16:39:00] #0560/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 16:39:00]   [560/818] acc=197/560=35.2% filtered=518/560
[2026-05-11 16:39:30] #0561/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:39:49] #0562/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 16:40:26] #0563/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 16:41:03] #0564/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-11 16:41:51] #0565/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:42:21] #0566/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 16:42:50] #0567/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:43:25] #0568/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:43:56] #0569/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 16:44:33] #0570/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 16:45:09] #0571/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.063 | conf=0.990 | gap=0.985
[2026-05-11 16:45:28] #0572/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.139 | conf=0.550 | gap=0.250
[2026-05-11 16:45:59] #0573/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:46:38] #0574/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 16:47:01] #0575/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.967 | conf=0.600 | gap=0.300
[2026-05-11 16:47:38] #0576/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:48:10] #0577/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:48:44] #0578/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 16:49:16] #0579/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 16:50:03] #0580/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.591 | conf=0.450 | gap=0.250
[2026-05-11 16:50:03]   [580/818] acc=210/580=36.2% filtered=537/580
[2026-05-11 16:50:42] #0581/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.781 | conf=0.750 | gap=0.600
[2026-05-11 16:51:20] #0582/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:51:55] #0583/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 16:52:27] #0584/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:52:51] #0585/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.753 | conf=0.737 | gap=0.579
[2026-05-11 16:53:23] #0586/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:53:42] #0587/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.330 | conf=0.550 | gap=0.350
[2026-05-11 16:54:35] #0588/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:55:11] #0589/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 16:55:41] #0590/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.043 | conf=0.700 | gap=0.600
[2026-05-11 16:56:15] #0591/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=1.347 | conf=0.600 | gap=0.500
[2026-05-11 16:56:52] #0592/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 16:57:29] #0593/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:58:06] #0594/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:58:42] #0595/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.301 | conf=0.930 | gap=0.890
[2026-05-11 16:59:22] #0596/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:00:17] #0597/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 17:01:56] #0598/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=1.566 | conf=0.350 | gap=0.100
[2026-05-11 17:02:29] #0599/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:02:47] #0600/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.239 | conf=0.550 | gap=0.300
[2026-05-11 17:02:47]   [600/818] acc=218/600=36.3% filtered=556/600
[2026-05-11 17:03:21] #0601/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:04:01] #0602/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 17:04:42] #0603/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.845 | conf=0.550 | gap=0.150
[2026-05-11 17:05:09] #0604/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.275 | conf=0.550 | gap=0.300
[2026-05-11 17:06:14] #0605/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.128 | conf=0.650 | gap=0.500
[2026-05-11 17:19:27] Class 13 (Walk-circle) 软标签生成开始
[2026-05-11 17:19:27]   QUICK=False LIMIT=50
[2026-05-11 17:19:27]   温度=0.8 (from api_config)
[2026-05-11 17:19:27]   本类: 818窗口 (仅加载本类, 内存友好)
[2026-05-11 17:19:27]   实际生成: 818 窗口
[2026-05-11 17:19:27]   续传: 605/818
[2026-05-11 17:20:01] #0606/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:20:34] #0607/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.717 | conf=0.800 | gap=0.720
[2026-05-11 17:21:39] #0608/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.867 | conf=0.750 | gap=0.600
[2026-05-11 17:22:22] #0609/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 17:22:57] #0610/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.689 | conf=0.800 | gap=0.700
[2026-05-11 17:23:30] #0611/00818 | true=Walk-circle(13) | pred=Pick(7) | ✗ | ent=1.251 | conf=0.600 | gap=0.450
[2026-05-11 17:24:33] #0612/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:25:13] #0613/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 17:25:46] #0614/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:26:05] #0615/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 17:26:34] #0616/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.616 | conf=0.850 | gap=0.770
[2026-05-11 17:27:13] #0617/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.638 | conf=0.859 | gap=0.808
[2026-05-11 17:27:49] #0618/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=1.007 | conf=0.700 | gap=0.570
[2026-05-11 17:28:22] #0619/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-11 17:28:55] #0620/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 17:28:55]   [620/818] acc=225/620=36.3% filtered=15/620
[2026-05-11 17:29:33] #0621/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-11 17:30:10] #0622/00818 | true=Walk-circle(13) | pred=Walk-backwards(12) | ✗ | ent=1.297 | conf=0.400 | gap=0.000
[2026-05-11 17:30:36] #0623/00818 | true=Walk-circle(13) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:31:14] #0624/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:32:00] #0625/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-11 17:32:59] #0626/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 17:33:19] #0627/00818 | true=Walk-circle(13) | pred=Lay-stand(6) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 17:33:56] #0628/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.940 | conf=0.700 | gap=0.600
[2026-05-11 17:34:18] #0629/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:34:47] #0630/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.675 | conf=0.850 | gap=0.810
[2026-05-11 17:35:20] #0631/00818 | true=Walk-circle(13) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:35:55] #0632/00818 | true=Walk-circle(13) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:36:19] #0633/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 17:36:53] #0634/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 17:37:27] #0635/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 17:38:02] #0636/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=1.347 | conf=0.550 | gap=0.400
[2026-05-11 17:38:46] #0637/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 17:39:16] #0638/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 17:40:04] #0639/00818 | true=Walk-circle(13) | pred=Lay-stand(6) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 17:40:42] #0640/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 17:40:42]   [640/818] acc=233/640=36.4% filtered=33/640
[2026-05-11 17:41:14] #0641/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 17:41:31] #0642/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 17:42:05] #0643/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.982 | conf=0.750 | gap=0.680
[2026-05-11 17:42:43] #0644/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 17:43:26] #0645/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:43:57] #0646/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:44:29] #0647/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 17:45:02] #0648/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 17:45:30] #0649/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 17:46:03] #0650/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 17:46:42] #0651/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:47:23] #0652/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.772 | conf=0.810 | gap=0.714
[2026-05-11 17:48:03] #0653/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 17:48:53] #0654/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 17:49:36] #0655/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 17:50:14] #0656/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.752 | conf=0.300 | gap=0.050
[2026-05-11 17:50:47] #0657/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 17:51:24] #0658/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:51:56] #0659/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 17:52:38] #0660/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 17:52:38]   [660/818] acc=240/660=36.4% filtered=52/660
[2026-05-11 17:53:12] #0661/00818 | true=Walk-circle(13) | pred=Lay-stand(6) | ✗ | ent=0.951 | conf=0.632 | gap=0.368
[2026-05-11 17:53:39] #0662/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.522 | conf=0.500 | gap=0.350
[2026-05-11 17:54:10] #0663/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 17:54:40] #0664/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 17:55:11] #0665/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 17:55:46] #0666/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 18:21:30] Class 13 (Walk-circle) 软标签生成开始
[2026-05-11 18:21:30]   QUICK=False LIMIT=50
[2026-05-11 18:21:30]   温度=0.8 (from api_config)
[2026-05-11 18:21:30]   本类: 818窗口 (仅加载本类, 内存友好)
[2026-05-11 18:21:30]   实际生成: 818 窗口
[2026-05-11 18:21:30]   续传: 665/818
[2026-05-11 18:21:57] #0666/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 18:22:29] #0667/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 18:23:03] #0668/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 18:23:39] #0669/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 18:24:09] #0670/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 18:24:40] #0671/00818 | true=Walk-circle(13) | pred=Pick(7) | ✗ | ent=1.060 | conf=0.700 | gap=0.600
[2026-05-11 18:25:36] #0672/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 18:26:21] #0673/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 18:26:53] #0674/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 18:27:36] #0675/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 18:28:09] #0676/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 18:28:39] #0677/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.989 | conf=0.700 | gap=0.580
[2026-05-11 18:29:07] #0678/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 18:29:39] #0679/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 18:30:07] #0680/00818 | true=Walk-circle(13) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:30:07]   [680/818] acc=252/680=37.1% filtered=15/680
[2026-05-11 18:30:39] #0681/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:31:08] #0682/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 18:31:39] #0683/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:32:10] #0684/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.829 | conf=0.780 | gap=0.710
[2026-05-11 18:32:48] #0685/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.795 | conf=0.780 | gap=0.660
[2026-05-11 18:33:21] #0686/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 18:33:46] #0687/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 18:34:12] #0688/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:34:27] #0689/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 18:35:01] #0690/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 18:35:36] #0691/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 18:36:09] #0692/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=1.402 | conf=0.500 | gap=0.300
[2026-05-11 18:36:40] #0693/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 18:37:14] #0694/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 18:37:46] #0695/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 18:38:22] #0696/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.574 | conf=0.850 | gap=0.770
[2026-05-11 18:38:50] #0697/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.651 | conf=0.850 | gap=0.800
[2026-05-11 18:39:24] #0698/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 18:40:04] #0699/00818 | true=Walk-circle(13) | pred=Lay-stand(6) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 18:41:07] #0700/00818 | true=Walk-circle(13) | pred=Pick(7) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 18:41:07]   [700/818] acc=259/700=37.0% filtered=34/700
[2026-05-11 18:41:42] #0701/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 18:42:31] #0702/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 18:43:01] #0703/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 18:43:33] #0704/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 18:43:49] #0705/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.294 | conf=0.450 | gap=0.200
[2026-05-11 18:44:32] #0706/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 18:44:57] #0707/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 18:45:30] #0708/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 18:45:53] #0709/00818 | true=Walk-circle(13) | pred=Lay-stand(6) | ✗ | ent=0.534 | conf=0.859 | gap=0.758
[2026-05-11 18:46:32] #0710/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.704 | conf=0.350 | gap=0.100
[2026-05-11 18:46:59] #0711/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.675 | conf=0.850 | gap=0.810
[2026-05-11 18:47:51] #0712/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 18:48:25] #0713/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 18:48:56] #0714/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 18:49:42] #0715/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 18:50:10] #0716/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
