[2026-05-11 11:03:49] #0001/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 15:23:46] #0617/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 15:24:02] #0618/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 15:24:22] #0619/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 15:25:01] #0620/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 15:25:34] #0621/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.189 | conf=0.684 | gap=0.632
[2026-05-11 15:26:04] #0622/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 15:26:43] #0623/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.578 | conf=0.824 | gap=0.706
[2026-05-11 15:26:59] #0624/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 15:27:14] #0625/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:27:30] #0626/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 15:28:07] #0627/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.426 | conf=0.650 | gap=0.550
[2026-05-11 15:29:07] #0629/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.344 | conf=0.611 | gap=0.444
[2026-05-11 15:29:46] #0630/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 15:30:18] #0631/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 15:30:35] #0632/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:31:22] #0634/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:31:50] #0635/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 15:32:07] #0636/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 15:32:37] #0637/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.658 | conf=0.632 | gap=0.263
[2026-05-11 15:33:44] #0638/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 15:34:18] #0639/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.044 | conf=0.684 | gap=0.579
[2026-05-11 15:34:51] #0640/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.603 | conf=0.850 | gap=0.760
[2026-05-11 15:35:09] #0641/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 15:35:41] #0642/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 15:36:01] #0643/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 15:36:16] #0644/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:37:02] #0645/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:37:45] #0646/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=1.302 | conf=0.550 | gap=0.350
[2026-05-11 15:38:23] #0647/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:38:56] #0648/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.819 | conf=0.700 | gap=0.550
[2026-05-11 15:39:36] #0649/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.241 | conf=0.700 | gap=0.630
[2026-05-11 15:39:50] #0650/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.275 | conf=0.677 | gap=0.625
[2026-05-11 15:40:02] #0651/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 15:40:20] #0652/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:40:37] #0653/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 15:40:53] #0654/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.087 | conf=0.700 | gap=0.620
[2026-05-11 15:41:26] #0655/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:41:40] #0656/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:42:17] #0657/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 15:42:31] #0658/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:42:45] #0659/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.242 | conf=0.947 | gap=0.916
[2026-05-11 15:43:02] #0660/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:43:15] #0661/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 15:43:30] #0662/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 15:44:01] #0663/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.133 | conf=0.720 | gap=0.660
[2026-05-11 15:44:39] #0664/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 15:44:52] #0665/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:45:12] #0666/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.426 | conf=0.904 | gap=0.851
[2026-05-11 15:45:50] #0667/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:46:06] #0668/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 15:46:34] #0669/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 15:47:08] #0670/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 15:47:24] #0671/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 15:47:52] #0672/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 15:48:33] #0673/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 15:49:45] #0675/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 15:50:02] #0676/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 15:50:36] #0677/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 15:50:50] #0678/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 15:51:26] #0679/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:52:06] #0680/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.033 | conf=0.600 | gap=0.350
[2026-05-11 15:52:22] #0681/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 15:52:33] #0682/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 15:53:06] #0683/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 15:53:23] #0684/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 15:53:55] #0685/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 15:54:08] #0686/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-11 15:54:43] #0687/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 15:55:19] #0688/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.582 | conf=0.850 | gap=0.770
[2026-05-11 15:55:33] #0689/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 15:56:04] #0690/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:56:20] #0691/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:56:36] #0692/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.133 | conf=0.579 | gap=0.316
[2026-05-11 15:56:49] #0693/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:57:06] #0694/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:57:23] #0695/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:57:54] #0696/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 15:58:07] #0697/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:58:35] #0698/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.299 | conf=0.700 | gap=0.650
[2026-05-11 15:59:06] #0699/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 15:59:41] #0700/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 16:00:03] #0701/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:00:35] #0702/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:02:24] #0703/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:02:41] #0704/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:02:59] #0705/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 16:03:30] #0706/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:03:51] #0707/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:05:02] #0709/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 16:05:39] #0710/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 16:05:55] #0711/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:06:35] #0712/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 16:07:11] #0713/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.245 | conf=0.933 | gap=0.867
[2026-05-11 16:07:48] #0714/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:08:29] #0715/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 16:09:00] #0716/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.722 | conf=0.800 | gap=0.680
[2026-05-11 16:09:32] #0717/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:10:25] #0718/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 16:11:05] #0719/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 16:11:30] #0720/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:12:03] #0721/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:12:52] #0722/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.754 | conf=0.850 | gap=0.820
[2026-05-11 16:13:15] #0723/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:13:29] #0724/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 16:14:03] #0725/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 16:15:13] #0727/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-11 16:15:49] #0728/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 16:16:24] #0729/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:17:06] #0730/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:17:42] #0731/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 16:18:15] #0732/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 16:18:29] #0733/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:19:20] #0734/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 16:19:47] #0735/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 16:20:12] #0736/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:20:49] #0737/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:21:02] #0738/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:21:38] #0739/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:22:20] #0740/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.985 | conf=0.773 | gap=0.722
[2026-05-11 16:22:51] #0741/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:23:05] #0742/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 16:24:00] #0743/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 16:24:13] #0744/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 16:24:29] #0745/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 16:25:05] #0746/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:25:19] #0747/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 16:25:51] #0748/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:26:09] #0749/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.158 | conf=0.600 | gap=0.400
[2026-05-11 16:26:23] #0750/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:26:35] #0751/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 16:26:50] #0752/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.637 | conf=0.824 | gap=0.729
[2026-05-11 16:27:05] #0753/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.537 | conf=0.842 | gap=0.737
[2026-05-11 16:27:50] #0755/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 16:28:35] #0757/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:29:01] #0758/05607 | true=Lay-stand(6) | pred=Sit(1) | ✗ | ent=0.156 | conf=0.969 | gap=0.949
[2026-05-11 16:29:36] #0759/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.234 | conf=0.667 | gap=0.611
[2026-05-11 16:29:52] #0760/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 16:30:39] #0763/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:30:58] #0764/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 16:32:27] #0766/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:32:40] #0767/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:32:57] #0768/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.321 | conf=0.940 | gap=0.920
[2026-05-11 16:33:29] #0769/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:33:46] #0770/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 16:34:01] #0771/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:34:16] #0772/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.476 | conf=0.650 | gap=0.570
[2026-05-11 16:34:45] #0773/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.025 | conf=0.802 | gap=0.755
[2026-05-11 16:36:21] #0776/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 16:37:14] #0777/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:37:48] #0778/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:38:04] #0779/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:38:44] #0780/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:39:14] #0782/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:40:43] #0784/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.235 | conf=0.550 | gap=0.350
[2026-05-11 16:40:59] #0785/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 16:41:14] #0786/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:41:28] #0787/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:42:04] #0788/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:42:36] #0789/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:42:54] #0790/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:43:49] #0791/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 16:44:28] #0792/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:44:58] #0793/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:45:35] #0794/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:46:45] #0796/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.660 | conf=0.824 | gap=0.765
[2026-05-11 16:47:22] #0797/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.291 | conf=0.720 | gap=0.670
[2026-05-11 16:47:51] #0798/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.917 | conf=0.800 | gap=0.750
[2026-05-11 16:48:24] #0799/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 16:48:55] #0800/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.410 | conf=0.632 | gap=0.579
[2026-05-11 16:49:31] #0801/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 16:49:56] #0802/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:50:11] #0803/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-11 16:50:42] #0804/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.807 | conf=0.789 | gap=0.737
[2026-05-11 16:51:17] #0805/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 16:51:50] #0806/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.088 | conf=0.647 | gap=0.471
[2026-05-11 16:52:21] #0807/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.000 | conf=0.737 | gap=0.684
[2026-05-11 16:52:33] #0808/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 16:53:07] #0809/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 16:53:35] #0810/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.753 | conf=0.737 | gap=0.579
[2026-05-11 16:54:15] #0811/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.546 | conf=0.863 | gap=0.811
[2026-05-11 16:55:55] #0814/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:56:10] #0815/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 16:56:49] #0816/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:57:06] #0817/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 16:57:41] #0818/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.623 | conf=0.850 | gap=0.790
[2026-05-11 16:57:56] #0819/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
