[2026-05-11 11:05:41] #0002/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:27:16] #2061/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-12 07:27:32] #2062/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 07:27:54] #2063/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.442 | conf=0.500 | gap=0.250
[2026-05-12 07:28:13] #2064/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-12 07:30:14] #2067/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.857 | conf=0.650 | gap=0.400
[2026-05-12 07:31:13] #2069/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-12 07:31:29] #2070/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 07:31:52] #2071/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-12 07:32:07] #2072/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.817 | conf=0.800 | gap=0.750
[2026-05-12 07:32:23] #2073/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:32:53] #2074/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.228 | conf=0.600 | gap=0.400
[2026-05-12 07:33:23] #2075/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-12 07:36:21] #2078/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:38:16] #2081/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.443 | conf=0.450 | gap=0.300
[2026-05-12 07:38:50] #2082/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-12 07:39:10] #2083/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.214 | conf=0.450 | gap=0.100
[2026-05-12 07:39:24] #2084/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:39:51] #2085/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-12 07:41:22] #2088/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.717 | conf=0.800 | gap=0.720
[2026-05-12 07:41:46] #2089/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.734 | conf=0.350 | gap=0.150
[2026-05-12 07:42:01] #2090/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:43:00] #2092/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.623 | conf=0.400 | gap=0.150
[2026-05-12 07:43:39] #2093/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 07:44:11] #2094/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-12 07:44:26] #2095/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 07:44:44] #2096/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-12 07:46:09] #2098/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-12 07:46:41] #2099/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.886 | conf=0.780 | gap=0.700
[2026-05-12 07:46:58] #2100/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 07:47:29] #2101/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 07:47:43] #2102/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 07:48:34] #2104/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.777 | conf=0.350 | gap=0.200
[2026-05-12 07:49:03] #2105/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-12 07:50:05] #2107/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:51:06] #2108/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-12 07:52:39] #2110/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 07:53:12] #2111/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 07:53:55] #2112/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-12 07:55:28] #2114/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.175 | conf=0.600 | gap=0.450
[2026-05-12 07:56:44] #2116/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.834 | conf=0.300 | gap=0.100
[2026-05-12 07:57:34] #2117/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 07:58:52] #2119/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 07:59:40] #2120/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 08:01:11] #2122/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 08:01:29] #2123/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-12 08:01:45] #2124/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 08:02:05] #2125/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 08:02:39] #2126/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.851 | conf=0.800 | gap=0.750
[2026-05-12 08:03:15] #2127/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 08:04:42] #2129/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.585 | conf=0.850 | gap=0.750
[2026-05-12 08:04:58] #2130/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-12 08:05:31] #2131/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 08:07:52] #2134/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 08:08:45] #2136/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.704 | conf=0.350 | gap=0.100
[2026-05-12 08:10:20] #2138/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-12 08:10:50] #2139/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 08:11:40] #2140/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 08:18:07] #2149/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.784 | conf=0.820 | gap=0.780
[2026-05-12 08:19:03] #2150/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-12 08:19:28] #2151/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:20:08] #2152/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 08:20:45] #2153/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-12 08:21:08] #2154/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 08:22:14] #2155/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 08:23:14] #2156/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 08:24:34] #2157/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 08:24:51] #2158/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-12 08:25:13] #2159/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-12 08:27:07] #2161/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 08:30:09] #2165/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-12 08:31:18] #2166/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-12 08:32:00] #2167/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-12 08:33:03] #2168/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 08:35:17] #2171/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.621 | conf=0.850 | gap=0.770
[2026-05-12 08:36:04] #2172/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:38:21] #2175/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-12 08:38:58] #2176/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-12 08:39:31] #2177/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 08:40:23] #2178/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-12 08:41:51] #2180/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.488 | conf=0.900 | gap=0.870
[2026-05-12 08:43:45] #2182/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 08:45:17] #2183/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.473 | conf=0.870 | gap=0.790
[2026-05-12 08:46:33] #2184/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 08:46:55] #2185/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:47:58] #2186/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 08:48:45] #2187/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 08:49:13] #2188/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-12 08:50:16] #2189/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-12 08:51:10] #2190/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 08:52:10] #2192/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:53:37] #2194/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-12 08:53:57] #2195/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-12 08:55:23] #2196/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.942 | conf=0.750 | gap=0.630
[2026-05-12 08:56:27] #2197/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-12 08:56:50] #2198/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-12 08:57:28] #2199/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-12 08:57:49] #2200/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-12 08:58:27] #2201/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:01:05] #2204/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-12 09:01:57] #2205/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:02:34] #2206/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:03:24] #2207/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.389 | conf=0.900 | gap=0.820
[2026-05-12 09:04:00] #2208/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-12 09:04:53] #2209/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.043 | conf=0.700 | gap=0.600
[2026-05-12 09:06:00] #2211/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 09:13:00] #2218/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-12 09:14:20] #2219/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-12 09:15:23] #2220/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.567 | conf=0.500 | gap=0.400
[2026-05-12 09:15:53] #2221/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 09:17:48] #2222/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.728 | conf=0.820 | gap=0.740
[2026-05-12 09:19:52] #2224/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 09:20:37] #2225/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.842 | conf=0.800 | gap=0.750
[2026-05-12 09:20:53] #2226/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.817 | conf=0.800 | gap=0.750
[2026-05-12 09:21:14] #2227/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:21:56] #2228/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-12 09:22:36] #2229/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 09:23:21] #2230/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 09:24:10] #2231/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-12 09:25:19] #2232/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-12 09:25:42] #2233/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.591 | conf=0.450 | gap=0.250
[2026-05-12 09:28:44] #2236/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 09:29:25] #2237/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-12 09:30:19] #2238/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 09:31:49] #2240/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.722 | conf=0.400 | gap=0.250
[2026-05-12 09:33:19] #2242/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.780 | gap=0.730
[2026-05-12 09:34:16] #2243/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 09:36:45] #2245/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 09:37:22] #2246/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-12 09:37:58] #2247/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 09:38:26] #2248/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.421 | conf=0.910 | gap=0.880
[2026-05-12 09:38:48] #2249/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-12 09:39:12] #2250/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 09:40:02] #2251/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:43:25] #2254/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.113 | conf=0.700 | gap=0.600
[2026-05-12 09:44:02] #2255/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-12 09:44:35] #2256/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-12 09:45:27] #2257/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-12 09:46:33] #2259/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 09:46:52] #2260/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 09:47:10] #2261/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 09:47:33] #2262/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.477 | conf=0.550 | gap=0.450
[2026-05-12 09:48:27] #2263/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-12 09:49:18] #2264/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.851 | conf=0.800 | gap=0.750
[2026-05-12 09:51:51] #2267/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 09:53:19] #2268/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 09:53:38] #2269/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 09:54:15] #2270/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.565 | conf=0.450 | gap=0.300
[2026-05-12 09:55:07] #2271/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-12 09:55:54] #2272/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.228 | conf=0.600 | gap=0.400
[2026-05-12 09:57:50] #2274/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.436 | conf=0.842 | gap=0.684
[2026-05-12 10:00:03] #2276/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.526 | conf=0.850 | gap=0.770
[2026-05-12 10:01:14] #2277/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 10:02:04] #2278/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-12 10:03:49] #2280/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.639 | conf=0.350 | gap=0.050
[2026-05-12 10:04:19] #2281/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.940 | conf=0.700 | gap=0.600
[2026-05-12 10:05:37] #2283/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.224 | conf=0.650 | gap=0.550
[2026-05-12 10:06:43] #2284/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-12 10:07:15] #2285/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.822 | conf=0.800 | gap=0.720
[2026-05-12 10:08:24] #2286/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-12 10:09:37] #2287/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 10:10:03] #2288/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-12 10:10:26] #2289/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-12 10:13:50] #2293/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.793 | conf=0.737 | gap=0.526
[2026-05-12 10:14:35] #2294/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 10:15:22] #2295/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.498 | conf=0.500 | gap=0.300
[2026-05-12 10:16:24] #2296/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.886 | conf=0.780 | gap=0.700
[2026-05-12 10:16:58] #2297/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.400 | conf=0.550 | gap=0.450
[2026-05-12 10:19:13] #2299/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 10:19:32] #2300/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-12 10:19:56] #2301/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 10:20:54] #2302/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 10:21:37] #2303/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:21:59] #2304/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:22:33] #2305/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 10:24:24] #2307/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 10:24:53] #2308/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-12 10:25:41] #2309/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-12 10:26:55] #2310/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-12 10:29:59] #2313/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.136 | conf=0.550 | gap=0.300
[2026-05-12 10:30:38] #2314/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 10:31:23] #2315/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-12 10:32:50] #2317/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 10:35:42] #2319/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-12 10:37:46] #2320/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 10:38:00] #2321/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-12 10:38:44] #2322/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 10:42:08] #2324/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-12 10:42:26] #2325/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.803 | conf=0.350 | gap=0.200
[2026-05-12 10:42:55] #2326/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 10:44:52] #2327/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.326 | conf=0.450 | gap=0.100
