[2026-05-11 21:52:20] HARTH class 7 (lying) T=0.8
[2026-05-11 21:52:20]   4689 windows
[2026-05-11 21:52:27] #0001/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:58] #3346/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:17:03] #3347/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:17:18] #3348/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:17:42] #3349/04689 | true=lying | pred=shuffle | ✗ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 14:17:53] #3350/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:02] #3351/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:14] #3352/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:28] #3353/04689 | true=lying | pred=stand | ✗ | ent=0.504 conf=0.880 gap=0.830
[2026-05-12 14:18:41] #3354/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 14:18:52] #3355/04689 | true=lying | pred=lying | ✓ | ent=0.476 conf=0.860 gap=0.740
[2026-05-12 14:19:01] #3356/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:09] #3357/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:17] #3358/04689 | true=lying | pred=stand | ✗ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 14:19:23] #3359/04689 | true=lying | pred=stand | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 14:19:48] #3360/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:48]   [3360/4689] acc=41% filt=3254
[2026-05-12 14:20:07] #3361/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:14] #3362/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:20:29] #3363/04689 | true=lying | pred=stand | ✗ | ent=0.630 conf=0.850 gap=0.770
[2026-05-12 14:20:32] #3364/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:38] #3365/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:54] #3366/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:06] #3367/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:21:22] #3368/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:21:30] #3369/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:42] #3370/04689 | true=lying | pred=stand | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 14:21:46] #3371/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:58] #3372/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:14] #3373/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:21] #3374/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:22:27] #3375/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:22:48] #3376/04689 | true=lying | pred=stairs_up | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:23:11] #3377/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:23:34] #3378/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:23:38] #3379/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:23:55] #3380/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:23:55]   [3380/4689] acc=41% filt=3274
[2026-05-12 14:24:10] #3381/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:24:18] #3382/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:24:30] #3383/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:24:37] #3384/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:24:42] #3385/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:24:53] #3386/04689 | true=lying | pred=lying | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 14:25:05] #3387/04689 | true=lying | pred=lying | ✓ | ent=0.788 conf=0.800 gap=0.710
[2026-05-12 14:25:34] #3388/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:55] #3389/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:26:01] #3390/04689 | true=lying | pred=lying | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 14:26:43] #3391/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:26:52] #3392/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:27:42] #3393/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:00] #3394/04689 | true=lying | pred=stand | ✗ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 14:28:14] #3395/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:28:23] #3396/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:28:32] #3397/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:28:47] #3398/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:28:55] #3399/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:13] #3400/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:13]   [3400/4689] acc=41% filt=3294
[2026-05-12 14:29:28] #3401/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:42] #3402/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:56] #3403/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:30:20] #3404/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:30:33] #3405/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:42] #3406/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:00] #3407/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:37] #3408/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:53] #3409/04689 | true=lying | pred=lying | ✓ | ent=0.663 conf=0.830 gap=0.750
[2026-05-12 14:32:01] #3410/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:32:07] #3411/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:32:15] #3412/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:32:41] #3413/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:32:46] #3414/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:32:59] #3415/04689 | true=lying | pred=stand | ✗ | ent=1.007 conf=0.650 gap=0.400
[2026-05-12 14:33:14] #3416/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:32] #3417/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:33:56] #3418/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:08] #3419/04689 | true=lying | pred=lying | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 14:34:21] #3420/04689 | true=lying | pred=lying | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 14:34:21]   [3420/4689] acc=41% filt=3314
[2026-05-12 14:34:31] #3421/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:38] #3422/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:52] #3423/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 14:34:56] #3424/04689 | true=lying | pred=lying | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 14:35:05] #3425/04689 | true=lying | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 14:35:18] #3426/04689 | true=lying | pred=stand | ✗ | ent=0.880 conf=0.750 gap=0.600
[2026-05-12 14:35:26] #3427/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:35:47] #3428/04689 | true=lying | pred=stand | ✗ | ent=1.338 conf=0.550 gap=0.300
[2026-05-12 14:36:00] #3429/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:07] #3430/04689 | true=lying | pred=stand | ✗ | ent=0.880 conf=0.750 gap=0.600
[2026-05-12 14:36:21] #3431/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:46] #3432/04689 | true=lying | pred=lying | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 14:36:59] #3433/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:14] #3434/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:35] #3435/04689 | true=lying | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:37:41] #3436/04689 | true=lying | pred=stand | ✗ | ent=0.606 conf=0.870 gap=0.820
[2026-05-12 14:37:57] #3437/04689 | true=lying | pred=lying | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:38:04] #3438/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:38:21] #3439/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:38:42] #3440/04689 | true=lying | pred=stand | ✗ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 14:38:42]   [3440/4689] acc=41% filt=3333
[2026-05-12 14:39:24] #3441/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:39:30] #3442/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:39:34] #3443/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:40:00] #3444/04689 | true=lying | pred=lying | ✓ | ent=1.190 conf=0.650 gap=0.490
[2026-05-12 14:40:20] #3445/04689 | true=lying | pred=stand | ✗ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 14:40:27] #3446/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:40:38] #3447/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:41:06] #3448/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:41:16] #3449/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:41:31] #3450/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:41:48] #3451/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:41:53] #3452/04689 | true=lying | pred=stand | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 14:42:16] #3453/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:42:31] #3454/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:42:58] #3455/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 14:43:14] #3456/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:43:36] #3457/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:43:43] #3458/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:43:47] #3459/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:44:02] #3460/04689 | true=lying | pred=lying | ✓ | ent=0.752 conf=0.600 gap=0.220
[2026-05-12 14:44:02]   [3460/4689] acc=41% filt=3353
[2026-05-12 14:44:12] #3461/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:44:29] #3462/04689 | true=lying | pred=stand | ✗ | ent=0.888 conf=0.780 gap=0.680
[2026-05-12 14:44:42] #3463/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:45:05] #3464/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:45:11] #3465/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:45:21] #3466/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:45:28] #3467/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:45:50] #3468/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 14:46:07] #3469/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:46:18] #3470/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:46:29] #3471/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:46:37] #3472/04689 | true=lying | pred=lying | ✓ | ent=0.680 conf=0.830 gap=0.730
[2026-05-12 14:46:50] #3473/04689 | true=lying | pred=stand | ✗ | ent=0.982 conf=0.750 gap=0.650
[2026-05-12 14:47:05] #3474/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:47:13] #3475/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:47:17] #3476/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:47:23] #3477/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:47:27] #3478/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:47:36] #3479/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:47:43] #3480/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:47:43]   [3480/4689] acc=41% filt=3373
[2026-05-12 14:47:52] #3481/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:48:06] #3482/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:48:19] #3483/04689 | true=lying | pred=stand | ✗ | ent=0.577 conf=0.880 gap=0.840
[2026-05-12 14:48:28] #3484/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:48:37] #3485/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:48:45] #3486/04689 | true=lying | pred=stand | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 14:48:58] #3487/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:49:08] #3488/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:49:31] #3489/04689 | true=lying | pred=lying | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 14:49:47] #3490/04689 | true=lying | pred=stand | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 14:50:10] #3491/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:50:31] #3492/04689 | true=lying | pred=stand | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 14:50:46] #3493/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:50:54] #3494/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:51:08] #3495/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:51:21] #3496/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:51:38] #3497/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:51:52] #3498/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-12 14:52:07] #3499/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:52:20] #3500/04689 | true=lying | pred=lying | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 14:52:20]   [3500/4689] acc=41% filt=3393
[2026-05-12 14:52:26] #3501/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:52:47] #3502/04689 | true=lying | pred=sit | ✗ | ent=0.068 conf=0.991 gap=0.988
[2026-05-12 14:52:59] #3503/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:53:12] #3504/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:53:21] #3505/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:53:33] #3506/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 14:53:41] #3507/04689 | true=lying | pred=stand | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 14:54:05] #3508/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 14:54:17] #3509/04689 | true=lying | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 14:54:32] #3510/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 14:54:46] #3511/04689 | true=lying | pred=sit | ✗ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 14:55:01] #3512/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:55:14] #3513/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:55:30] #3514/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:55:47] #3515/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 14:55:52] #3516/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:56:01] #3517/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:56:20] #3518/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 14:56:25] #3519/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:56:38] #3520/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 14:56:38]   [3520/4689] acc=41% filt=3412
[2026-05-12 14:56:46] #3521/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 14:57:01] #3522/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:57:07] #3523/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:57:14] #3524/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:57:34] #3525/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:57:43] #3526/04689 | true=lying | pred=stand | ✗ | ent=0.660 conf=0.850 gap=0.780
[2026-05-12 14:57:57] #3527/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:58:09] #3528/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:58:17] #3529/04689 | true=lying | pred=lying | ✓ | ent=0.856 conf=0.800 gap=0.740
[2026-05-12 14:58:23] #3530/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:58:31] #3531/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:58:37] #3532/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:59:00] #3533/04689 | true=lying | pred=shuffle | ✗ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 14:59:15] #3534/04689 | true=lying | pred=lying | ✓ | ent=0.459 conf=0.850 gap=0.710
[2026-05-12 14:59:24] #3535/04689 | true=lying | pred=lying | ✓ | ent=0.329 conf=0.930 gap=0.900
[2026-05-12 14:59:34] #3536/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:59:54] #3537/04689 | true=lying | pred=stand | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 15:00:05] #3538/04689 | true=lying | pred=lying | ✓ | ent=0.563 conf=0.880 gap=0.840
[2026-05-12 15:00:24] #3539/04689 | true=lying | pred=lying | ✓ | ent=0.684 conf=0.840 gap=0.760
[2026-05-12 15:00:33] #3540/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 15:00:33]   [3540/4689] acc=41% filt=3431
[2026-05-12 15:00:39] #3541/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:00:56] #3542/04689 | true=lying | pred=lying | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 15:01:15] #3543/04689 | true=lying | pred=lying | ✓ | ent=0.829 conf=0.790 gap=0.690
[2026-05-12 15:01:43] #3544/04689 | true=lying | pred=lying | ✓ | ent=0.386 conf=0.900 gap=0.830
[2026-05-12 15:01:49] #3545/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:01:59] #3546/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:02:07] #3547/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:02:11] #3548/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 15:02:23] #3549/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:02:35] #3550/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:02:42] #3551/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:02:58] #3552/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:03:09] #3553/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:03:17] #3554/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:03:30] #3555/04689 | true=lying | pred=lying | ✓ | ent=0.716 conf=0.830 gap=0.750
[2026-05-12 15:03:37] #3556/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:03:43] #3557/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:03:48] #3558/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:04:09] #3559/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:04:29] #3560/04689 | true=lying | pred=lying | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 15:04:29]   [3560/4689] acc=41% filt=3451
[2026-05-12 15:04:39] #3561/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:04:47] #3562/04689 | true=lying | pred=lying | ✓ | ent=1.099 conf=0.610 gap=0.360
[2026-05-12 15:04:55] #3563/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 15:05:07] #3564/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:05:17] #3565/04689 | true=lying | pred=lying | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 15:05:32] #3566/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:05:51] #3567/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 15:05:59] #3568/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:06:04] #3569/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:06:08] #3570/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:06:13] #3571/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:06:26] #3572/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:06:35] #3573/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:06:44] #3574/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
