[2026-05-08 16:32:10]   [002/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 12:40:21]   [8098/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.56 | top=16:0.89, 15:0.05
[2026-05-09 12:40:34]   [8099/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.74 | top=4:0.85, 7:0.04
[2026-05-09 12:40:49]   [8100/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.49 | top=6:0.62, 10:0.15
[2026-05-09 12:41:42]   [8106/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.43 | top=1:0.65, 0:0.12
[2026-05-09 12:42:27]   [8112/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.96 | top=4:0.83, 7:0.02
[2026-05-09 12:42:37]   [8113/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-09 12:42:43]   [8114/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.22 | top=14:0.96, 8:0.02
[2026-05-09 12:43:14]   [8118/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.72 | top=1:0.85, 0:0.05
[2026-05-09 12:43:45]   [8121/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.10 | top=14:0.98, 8:0.02
[2026-05-09 12:43:51]   [8122/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.29 | top=3:0.73, 2:0.05
[2026-05-09 12:43:59]   [8123/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.38 | top=8:0.93, 14:0.05
[2026-05-09 12:44:22]   [8126/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.40 | top=9:0.92, 10:0.02
[2026-05-09 12:45:12]   [8131/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.63 | top=1:0.79, 0:0.16
[2026-05-09 12:45:37]   [8134/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.55 | top=17:0.89, 14:0.05
[2026-05-09 12:45:44]   [8135/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.28 | top=11:0.74, 13:0.03
[2026-05-09 12:45:58]   [8137/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.43 | top=0:0.92, 3:0.02
[2026-05-09 12:46:26]   [8141/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=2.08 | top=15:0.45, 11:0.08
[2026-05-09 12:46:45]   [8143/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=0.80 | top=15:0.80, 12:0.08
[2026-05-09 12:48:06]   [8151/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.28 | top=5:0.96, 0:0.00
[2026-05-09 12:48:13]   [8152/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.72 | top=10:0.56, 7:0.12
[2026-05-09 12:48:26]   [8154/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.30 | top=14:0.93, 8:0.05
[2026-05-09 12:50:11]   [8165/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=2.43 | top=7:0.30, 11:0.12
[2026-05-09 12:50:18]   [8166/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.29 | top=8:0.94, 14:0.04
[2026-05-09 12:51:42]   [8175/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.38 | top=4:0.67, 6:0.14
[2026-05-09 12:52:05]   [8177/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=1.16 | top=8:0.72, 14:0.12
[2026-05-09 12:52:21]   [8179/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.48 | top=16:0.60, 17:0.14
[2026-05-09 12:52:29]   [8180/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.73 | top=11:0.85, 12:0.04
[2026-05-09 12:52:44]   [8181/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.69 | top=16:0.55, 11:0.12
[2026-05-09 12:52:51]   [8182/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.28 | top=11:0.95, 12:0.02
[2026-05-09 12:53:23]   [8186/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.88 | top=9:0.82, 7:0.03
[2026-05-09 12:53:31]   [8187/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-09 12:53:41]   [8188/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=1.52 | top=14:0.59, 11:0.15
[2026-05-09 12:53:56]   [8190/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.47 | top=4:0.90, 17:0.04
[2026-05-09 12:54:33]   [8194/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.29 | top=16:0.95, 15:0.01
[2026-05-09 12:54:53]   [8197/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.63 | top=10:0.57, 6:0.16
[2026-05-09 12:55:02]   [8198/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.85 | top=10:0.55, 9:0.10
[2026-05-09 12:55:09]   [8199/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.30 | top=1:0.95, 2:0.02
[2026-05-09 12:56:14]   [8206/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=0.75 | top=15:0.83, 11:0.05
[2026-05-09 12:56:52]   [8210/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-09 12:57:04]   [8211/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.70 | top=4:0.85, 3:0.05
[2026-05-09 12:58:54]   [8225/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.10 | top=14:0.98, 8:0.02
[2026-05-09 12:59:04]   [8226/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.43 | top=8:0.88, 14:0.10
[2026-05-09 12:59:19]   [8228/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=2.11 | top=15:0.45, 11:0.08
[2026-05-09 12:59:24]   [8229/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 13:00:11]   [8234/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.20 | top=3:0.72, 10:0.08
[2026-05-09 13:00:48]   [8238/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.69 | top=16:0.60, 17:0.09
[2026-05-09 13:00:56]   [8239/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.10 | top=14:0.98, 8:0.02
[2026-05-09 13:01:58]   [8246/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 13:02:25]   [8249/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.57 | top=6:0.88, 5:0.03
[2026-05-09 13:02:50]   [8251/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=2.15 | top=3:0.42, 17:0.14
[2026-05-09 13:02:57]   [8252/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.77 | top=4:0.85, 6:0.03
[2026-05-09 13:03:06]   [8253/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.20 | top=8:0.95, 14:0.05
[2026-05-09 13:03:27]   [8255/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.92 | top=9:0.55, 15:0.05
[2026-05-09 13:04:00]   [8259/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.53 | top=5:0.92, 0:0.00
[2026-05-09 13:04:10]   [8260/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.33 | top=11:0.95, 12:0.01
[2026-05-09 13:04:17]   [8261/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.25 | top=14:0.96, 8:0.01
[2026-05-09 13:04:48]   [8265/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.58 | top=0:0.90, 1:0.01
[2026-05-09 13:05:05]   [8267/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.40 | top=0:0.92, 1:0.05
[2026-05-09 13:05:21]   [8269/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-09 13:06:06]   [8273/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.00 | top=6:0.76, 10:0.12
[2026-05-09 13:06:51]   [8278/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.49 | top=9:0.65, 10:0.12
[2026-05-09 13:08:10]   [8287/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 13:08:20]   [8288/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=1.34 | top=8:0.52, 14:0.30
[2026-05-09 13:08:33]   [8290/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=2.55 | top=15:0.22, 11:0.12
[2026-05-09 13:08:37]   [8291/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.96 | top=6:0.83, 7:0.02
[2026-05-09 13:08:48]   [8292/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=0.88 | top=2:0.78, 1:0.10
[2026-05-09 13:09:32]   [8297/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.14 | top=11:0.72, 13:0.08
[2026-05-09 13:10:41]   [8304/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.53 | top=5:0.92, 0:0.00
[2026-05-09 13:11:07]   [8308/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.96 | top=6:0.83, 5:0.02
[2026-05-09 13:13:48]   [8328/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.47 | top=10:0.66, 4:0.08
[2026-05-09 13:13:55]   [8329/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.30 | top=6:0.72, 5:0.05
[2026-05-09 13:14:05]   [8330/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.89 | top=3:0.50, 0:0.15
[2026-05-09 13:14:16]   [8332/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.19 | top=0:0.97, 1:0.00
[2026-05-09 13:14:21]   [8333/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 13:14:48]   [8336/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 13:15:35]   [8341/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.98 | top=11:0.45, 12:0.15
[2026-05-09 13:16:18]   [8345/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.15 | top=14:0.97, 8:0.02
[2026-05-09 13:16:31]   [8346/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.95 | top=6:0.50, 17:0.09
[2026-05-09 13:16:47]   [8348/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.15 | top=15:0.70, 9:0.05
[2026-05-09 13:17:14]   [8350/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=2.12 | top=4:0.40, 3:0.18
[2026-05-09 13:17:52]   [8355/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.16 | top=7:0.76, 9:0.08
[2026-05-09 13:18:31]   [8359/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.11 | top=10:0.78, 7:0.05
[2026-05-09 13:19:37]   [8366/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.45 | top=8:0.92, 14:0.02
[2026-05-09 13:19:44]   [8367/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.19 | top=1:0.75, 0:0.05
[2026-05-09 13:19:57]   [8369/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.27 | top=0:0.95, 1:0.02
[2026-05-09 13:20:04]   [8370/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.15 | top=14:0.97, 8:0.02
[2026-05-09 13:20:09]   [8371/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.72 | top=4:0.85, 3:0.05
[2026-05-09 13:20:30]   [8373/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.72 | top=6:0.61, 4:0.05
[2026-05-09 13:20:37]   [8374/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.73 | top=1:0.85, 0:0.05
[2026-05-09 13:21:22]   [8379/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.99 | top=4:0.52, 3:0.06
[2026-05-09 13:21:42]   [8381/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.63 | top=6:0.58, 5:0.15
[2026-05-09 13:22:01]   [8383/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.39 | top=8:0.92, 14:0.04
[2026-05-09 13:22:35]   [8386/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=2.30 | top=11:0.35, 13:0.10
[2026-05-09 13:22:47]   [8388/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.33 | top=14:0.90, 8:0.10
[2026-05-09 13:23:19]   [8391/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.35 | top=4:0.72, 3:0.04
[2026-05-09 13:24:07]   [8397/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.06 | top=3:0.78, 11:0.04
[2026-05-09 13:24:52]   [8402/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.92 | top=0:0.82, 1:0.04
[2026-05-09 13:25:21]   [8405/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.32 | top=6:0.70, 10:0.10
[2026-05-09 13:25:44]   [8407/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.34 | top=2:0.71, 1:0.09
[2026-05-09 13:26:45]   [8413/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.23 | top=5:0.96, 2:0.01
[2026-05-09 13:26:55]   [8414/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.59 | top=3:0.64, 6:0.08
[2026-05-09 13:27:12]   [8416/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.25 | top=11:0.75, 12:0.03
[2026-05-09 13:27:56]   [8421/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.81 | top=16:0.82, 11:0.05
[2026-05-09 13:28:18]   [8424/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.76 | top=15:0.52, 16:0.12
[2026-05-09 13:28:33]   [8426/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.52 | top=5:0.92, 0:0.00
[2026-05-09 13:29:06]   [8429/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.13 | top=14:0.98, 0:0.00
[2026-05-09 13:29:20]   [8431/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.06 | top=14:0.99, 8:0.01
[2026-05-09 13:29:26]   [8432/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.78 | top=0:0.82, 1:0.06
[2026-05-09 13:29:33]   [8433/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.87 | top=17:0.70, 16:0.20
[2026-05-09 13:29:52]   [8435/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.66 | top=0:0.88, 1:0.03
[2026-05-09 13:30:32]   [8439/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.50 | top=8:0.85, 14:0.12
[2026-05-09 13:30:46]   [8441/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=0.63 | top=2:0.89, 1:0.02
[2026-05-09 13:30:59]   [8442/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.59 | top=5:0.90, 0:0.01
[2026-05-09 13:31:14]   [8444/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.42 | top=7:0.70, 10:0.05
[2026-05-09 13:31:18]   [8445/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 13:31:50]   [8448/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.58 | top=5:0.90, 2:0.01
[2026-05-09 13:31:56]   [8449/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-09 13:32:21]   [8452/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.28 | top=6:0.96, 5:0.01
[2026-05-09 13:32:30]   [8453/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.50 | top=14:0.88, 8:0.05
[2026-05-09 13:32:46]   [8455/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.99 | top=6:0.80, 5:0.05
[2026-05-09 13:33:32]   [8460/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.96, 8:0.02
[2026-05-09 13:33:45]   [8462/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.57 | top=6:0.65, 5:0.05
[2026-05-09 13:33:52]   [8463/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.69 | top=3:0.61, 2:0.08
[2026-05-09 13:35:07]   [8471/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.17 | top=16:0.69, 11:0.08
[2026-05-09 13:35:13]   [8472/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.96 | top=5:0.83, 1:0.02
[2026-05-09 13:36:09]   [8478/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.43 | top=15:0.55, 17:0.13
[2026-05-09 13:36:26]   [8480/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.91 | top=6:0.70, 10:0.15
[2026-05-09 13:37:26]   [8486/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.26 | top=5:0.96, 1:0.01
[2026-05-09 13:37:36]   [8487/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=2.26 | top=10:0.35, 5:0.15
[2026-05-09 13:37:50]   [8489/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.60 | top=10:0.59, 4:0.16
[2026-05-09 13:38:06]   [8490/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.58 | top=6:0.56, 10:0.20
[2026-05-09 13:38:45]   [8494/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.88 | top=3:0.52, 0:0.08
[2026-05-09 13:39:34]   [8499/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.30 | top=11:0.55, 13:0.18
[2026-05-09 13:39:55]   [8501/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.30 | top=4:0.69, 6:0.10
[2026-05-09 13:40:31]   [8504/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-09 13:40:59]   [8507/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.28 | top=3:0.74, 2:0.03
[2026-05-09 13:41:08]   [8508/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.50 | top=1:0.89, 0:0.05
[2026-05-09 13:41:29]   [8510/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.58 | top=9:0.60, 7:0.12
[2026-05-09 13:41:55]   [8512/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.60 | top=9:0.88, 10:0.04
[2026-05-09 13:42:13]   [8513/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.92 | top=16:0.50, 15:0.12
[2026-05-09 13:43:22]   [8520/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.59 | top=10:0.65, 7:0.05
[2026-05-09 13:43:41]   [8522/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.56 | top=1:0.91, 0:0.01
[2026-05-09 13:43:47]   [8523/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.92 | top=5:0.83, 0:0.01
[2026-05-09 13:44:42]   [8528/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.05 | top=16:0.68, 11:0.21
[2026-05-09 13:45:17]   [8532/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.92 | top=9:0.83, 0:0.01
[2026-05-09 13:45:38]   [8533/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.21 | top=11:0.60, 16:0.20
[2026-05-09 13:45:47]   [8534/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.71 | top=16:0.61, 11:0.05
[2026-05-09 13:46:18]   [8538/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.54 | top=5:0.91, 0:0.01
[2026-05-09 13:46:29]   [8539/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 13:47:38]   [8545/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.84 | top=9:0.85, 11:0.02
[2026-05-09 13:48:02]   [8548/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.35 | top=5:0.94, 0:0.01
[2026-05-09 13:49:02]   [8554/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.29 | top=1:0.72, 0:0.08
[2026-05-09 13:49:29]   [8557/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.56 | top=0:0.88, 3:0.04
[2026-05-09 13:50:24]   [8564/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.26 | top=4:0.74, 6:0.05
[2026-05-09 13:50:32]   [8565/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.89 | top=4:0.77, 6:0.12
[2026-05-09 13:51:00]   [8568/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.96 | top=4:0.83, 6:0.02
[2026-05-09 13:52:13]   [8575/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.02 | top=0:1.00, 1:0.00
[2026-05-09 13:52:42]   [8578/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.62 | top=5:0.90, 0:0.01
[2026-05-09 13:53:12]   [8582/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.60 | top=0:0.85, 17:0.07
[2026-05-09 13:53:30]   [8584/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.76 | top=17:0.57, 14:0.06
[2026-05-09 13:54:03]   [8588/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.74 | top=14:0.80, 11:0.10
[2026-05-09 13:54:19]   [8589/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=2.64 | top=17:0.15, 16:0.12
[2026-05-09 13:54:54]   [8594/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.06 | top=8:0.99, 14:0.01
[2026-05-09 13:55:09]   [8596/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.43 | top=8:0.92, 14:0.03
[2026-05-09 13:55:30]   [8598/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.37 | top=14:0.94, 8:0.02
[2026-05-09 13:55:48]   [8600/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.66 | top=4:0.62, 3:0.05
[2026-05-09 13:56:27]   [8603/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.21 | top=8:0.96, 14:0.02
[2026-05-09 13:57:10]   [8606/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.06 | top=0:0.79, 1:0.05
[2026-05-09 13:57:45]   [8609/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.73 | top=17:0.75, 14:0.15
[2026-05-09 13:57:53]   [8610/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.30 | top=11:0.95, 12:0.02
[2026-05-09 13:58:20]   [8614/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=0.70 | top=15:0.85, 11:0.05
[2026-05-09 13:58:35]   [8616/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.60 | top=16:0.62, 15:0.10
[2026-05-09 13:59:17]   [8622/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.87 | top=1:0.81, 2:0.10
[2026-05-09 13:59:25]   [8623/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.41 | top=7:0.70, 4:0.05
[2026-05-09 13:59:51]   [8626/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.62 | top=5:0.90, 0:0.01
[2026-05-09 14:00:08]   [8628/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.66 | top=0:0.88, 2:0.02
[2026-05-09 14:01:04]   [8634/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.68 | top=0:0.86, 1:0.04
[2026-05-09 14:01:21]   [8636/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.41 | top=9:0.71, 7:0.03
[2026-05-09 14:01:30]   [8637/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 8:0.05
[2026-05-09 14:02:10]   [8641/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.35 | top=11:0.71, 12:0.08
[2026-05-09 14:02:36]   [8643/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.57 | top=0:0.87, 1:0.08
[2026-05-09 14:02:55]   [8644/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=2.01 | top=15:0.44, 12:0.12
[2026-05-09 14:03:35]   [8649/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-09 14:04:39]   [8656/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.18 | top=4:0.75, 3:0.05
[2026-05-09 14:05:05]   [8659/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.84 | top=11:0.54, 12:0.10
[2026-05-09 14:05:44]   [8664/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.08 | top=4:0.78, 6:0.04
[2026-05-09 14:05:52]   [8665/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.32 | top=8:0.92, 14:0.06
[2026-05-09 14:06:21]   [8669/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.23 | top=8:0.95, 17:0.03
[2026-05-09 14:07:02]   [8674/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=2.08 | top=6:0.35, 10:0.18
[2026-05-09 14:07:34]   [8677/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.91 | top=17:0.75, 16:0.10
