[2026-05-11 23:14:23] MotionSense class 1 (jogging) T=0.8
[2026-05-11 23:14:23]   1443 windows
[2026-05-11 23:14:26] #0001/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:49:51] #0666/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:50:19] #0667/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 01:50:40] #0668/01443 | true=jogging | pred=jogging | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 01:50:44] #0669/01443 | true=jogging | pred=jogging | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 01:50:55] #0670/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 01:51:09] #0671/01443 | true=jogging | pred=jogging | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 01:51:18] #0672/01443 | true=jogging | pred=jogging | ✓ | ent=0.847 conf=0.750 gap=0.600
[2026-05-12 01:51:28] #0673/01443 | true=jogging | pred=jogging | ✓ | ent=0.611 conf=0.820 gap=0.690
[2026-05-12 01:51:59] #0674/01443 | true=jogging | pred=upstairs | ✗ | ent=1.258 conf=0.400 gap=0.050
[2026-05-12 01:52:21] #0675/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 01:52:34] #0676/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 01:52:45] #0677/01443 | true=jogging | pred=jogging | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 01:52:56] #0678/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 01:53:07] #0679/01443 | true=jogging | pred=jogging | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 01:53:46] #0680/01443 | true=jogging | pred=walking | ✗ | ent=0.880 conf=0.630 gap=0.330
[2026-05-12 01:53:46]   [680/1443] acc=98% filt=665
[2026-05-12 01:53:59] #0681/01443 | true=jogging | pred=jogging | ✓ | ent=0.603 conf=0.850 gap=0.760
[2026-05-12 01:54:09] #0682/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 01:54:13] #0683/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 01:54:41] #0684/01443 | true=jogging | pred=jogging | ✓ | ent=1.224 conf=0.400 gap=0.100
[2026-05-12 01:54:50] #0685/01443 | true=jogging | pred=jogging | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 01:55:41] #0686/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 01:55:47] #0687/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:56:14] #0688/01443 | true=jogging | pred=jogging | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 01:56:42] #0689/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 01:56:46] #0690/01443 | true=jogging | pred=jogging | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 01:56:53] #0691/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:57:22] #0692/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:57:32] #0693/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:57:41] #0694/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:57:52] #0695/01443 | true=jogging | pred=jogging | ✓ | ent=0.516 conf=0.860 gap=0.760
[2026-05-12 01:58:05] #0696/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 01:58:18] #0697/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 01:58:20] #0698/01443 | true=jogging | pred=jogging | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 01:58:48] #0699/01443 | true=jogging | pred=jogging | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-12 01:58:50] #0700/01443 | true=jogging | pred=jogging | ✓ | ent=0.789 conf=0.750 gap=0.620
[2026-05-12 01:58:50]   [700/1443] acc=98% filt=684
[2026-05-12 01:58:55] #0701/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:59:17] #0702/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:59:37] #0703/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:59:41] #0704/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:59:52] #0705/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 01:59:55] #0706/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:59:58] #0707/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 02:00:25] #0708/01443 | true=jogging | pred=jogging | ✓ | ent=0.530 conf=0.880 gap=0.820
[2026-05-12 02:00:45] #0709/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:00:57] #0710/01443 | true=jogging | pred=jogging | ✓ | ent=0.357 conf=0.930 gap=0.900
[2026-05-12 02:01:06] #0711/01443 | true=jogging | pred=jogging | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 02:01:12] #0712/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:01:25] #0713/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:01:29] #0714/01443 | true=jogging | pred=jogging | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 02:01:34] #0715/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:01:43] #0716/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:01:47] #0717/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 02:01:58] #0718/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:02:00] #0719/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:02:14] #0720/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:02:14]   [720/1443] acc=98% filt=704
[2026-05-12 02:02:16] #0721/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:02:26] #0722/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 02:03:03] #0723/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 02:03:15] #0724/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:03:36] #0725/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 02:03:51] #0726/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:04:10] #0727/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:04:18] #0728/01443 | true=jogging | pred=jogging | ✓ | ent=0.603 conf=0.820 gap=0.690
[2026-05-12 02:04:30] #0729/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:04:45] #0730/01443 | true=jogging | pred=jogging | ✓ | ent=0.681 conf=0.820 gap=0.710
[2026-05-12 02:04:50] #0731/01443 | true=jogging | pred=jogging | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 02:04:55] #0732/01443 | true=jogging | pred=jogging | ✓ | ent=0.852 conf=0.700 gap=0.500
[2026-05-12 02:05:00] #0733/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 02:05:17] #0734/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 02:05:34] #0735/01443 | true=jogging | pred=jogging | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:05:59] #0736/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 02:06:03] #0737/01443 | true=jogging | pred=jogging | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 02:06:20] #0738/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 02:06:41] #0739/01443 | true=jogging | pred=jogging | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 02:07:00] #0740/01443 | true=jogging | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:07:00]   [740/1443] acc=98% filt=724
[2026-05-12 02:07:11] #0741/01443 | true=jogging | pred=jogging | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 02:07:31] #0742/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:07:40] #0743/01443 | true=jogging | pred=jogging | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:07:55] #0744/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 02:08:04] #0745/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:08:16] #0746/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 02:08:42] #0747/01443 | true=jogging | pred=jogging | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 02:08:45] #0748/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 02:09:05] #0749/01443 | true=jogging | pred=jogging | ✓ | ent=0.789 conf=0.750 gap=0.620
[2026-05-12 02:09:15] #0750/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:09:35] #0751/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:09:45] #0752/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:09:52] #0753/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:10:03] #0754/01443 | true=jogging | pred=jogging | ✓ | ent=0.492 conf=0.880 gap=0.820
[2026-05-12 02:10:20] #0755/01443 | true=jogging | pred=jogging | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 02:11:17] #0756/01443 | true=jogging | pred=walking | ✗ | ent=0.967 conf=0.700 gap=0.550
[2026-05-12 02:11:29] #0757/01443 | true=jogging | pred=jogging | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:11:33] #0758/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:11:40] #0759/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:11:52] #0760/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 02:11:52]   [760/1443] acc=98% filt=744
[2026-05-12 02:12:18] #0761/01443 | true=jogging | pred=jogging | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 02:12:22] #0762/01443 | true=jogging | pred=jogging | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-12 02:12:36] #0763/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:12:38] #0764/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:12:48] #0765/01443 | true=jogging | pred=jogging | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 02:12:56] #0766/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:13:06] #0767/01443 | true=jogging | pred=jogging | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:13:34] #0768/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 02:13:45] #0769/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 02:13:48] #0770/01443 | true=jogging | pred=jogging | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:14:11] #0771/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 02:14:36] #0772/01443 | true=jogging | pred=jogging | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:14:45] #0773/01443 | true=jogging | pred=jogging | ✓ | ent=0.719 conf=0.800 gap=0.670
[2026-05-12 02:14:55] #0774/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 02:15:43] #0775/01443 | true=jogging | pred=jogging | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:15:55] #0776/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:15:58] #0777/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 02:16:59] #0778/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 02:17:02] #0779/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:17:05] #0780/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:17:05]   [780/1443] acc=98% filt=764
[2026-05-12 02:17:16] #0781/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 02:17:19] #0782/01443 | true=jogging | pred=jogging | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 02:18:17] #0783/01443 | true=jogging | pred=jogging | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:18:19] #0784/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:18:31] #0785/01443 | true=jogging | pred=jogging | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:18:59] #0786/01443 | true=jogging | pred=jogging | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:19:02] #0787/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:19:06] #0788/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:19:14] #0789/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:19:24] #0790/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:19:33] #0791/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:19:36] #0792/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 02:20:27] #0793/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-12 02:20:32] #0794/01443 | true=jogging | pred=jogging | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:20:43] #0795/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 02:21:09] #0796/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:21:11] #0797/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:21:18] #0798/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:21:23] #0799/01443 | true=jogging | pred=jogging | ✓ | ent=0.874 conf=0.720 gap=0.600
[2026-05-12 02:21:34] #0800/01443 | true=jogging | pred=jogging | ✓ | ent=0.454 conf=0.880 gap=0.790
[2026-05-12 02:21:34]   [800/1443] acc=98% filt=784
[2026-05-12 02:21:48] #0801/01443 | true=jogging | pred=jogging | ✓ | ent=0.816 conf=0.700 gap=0.470
[2026-05-12 02:22:08] #0802/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:22:11] #0803/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:22:15] #0804/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:22:27] #0805/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 02:22:38] #0806/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:23:05] #0807/01443 | true=jogging | pred=jogging | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:23:08] #0808/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-12 02:23:11] #0809/01443 | true=jogging | pred=jogging | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 02:23:22] #0810/01443 | true=jogging | pred=jogging | ✓ | ent=0.735 conf=0.750 gap=0.620
[2026-05-12 02:23:30] #0811/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:23:40] #0812/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 02:23:49] #0813/01443 | true=jogging | pred=jogging | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 02:24:41] #0814/01443 | true=jogging | pred=jogging | ✓ | ent=0.282 conf=0.930 gap=0.870
[2026-05-12 02:24:43] #0815/01443 | true=jogging | pred=jogging | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-12 02:24:53] #0816/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 02:25:04] #0817/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:25:11] #0818/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 02:25:34] #0819/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:25:37] #0820/01443 | true=jogging | pred=jogging | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 02:25:37]   [820/1443] acc=98% filt=804
[2026-05-12 02:25:41] #0821/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:25:44] #0822/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:25:55] #0823/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 02:26:37] #0824/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:26:40] #0825/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:26:51] #0826/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 02:27:19] #0827/01443 | true=jogging | pred=jogging | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:27:21] #0828/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 02:27:40] #0829/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:27:44] #0830/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:27:48] #0831/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:27:56] #0832/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 02:27:59] #0833/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:28:16] #0834/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 02:28:31] #0835/01443 | true=jogging | pred=jogging | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:28:34] #0836/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:28:37] #0837/01443 | true=jogging | pred=jogging | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 02:28:48] #0838/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 02:28:58] #0839/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 02:29:06] #0840/01443 | true=jogging | pred=jogging | ✓ | ent=0.721 conf=0.750 gap=0.550
[2026-05-12 02:29:06]   [840/1443] acc=98% filt=824
[2026-05-12 02:29:32] #0841/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:29:45] #0842/01443 | true=jogging | pred=jogging | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:29:58] #0843/01443 | true=jogging | pred=jogging | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:30:01] #0844/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:30:10] #0845/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:30:12] #0846/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:30:15] #0847/01443 | true=jogging | pred=jogging | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 02:30:27] #0848/01443 | true=jogging | pred=jogging | ✓ | ent=0.666 conf=0.820 gap=0.700
[2026-05-12 02:30:38] #0849/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 02:30:59] #0850/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 02:31:10] #0851/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:31:13] #0852/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:31:17] #0853/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:31:23] #0854/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:31:26] #0855/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:31:54] #0856/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 02:32:06] #0857/01443 | true=jogging | pred=jogging | ✓ | ent=0.466 conf=0.880 gap=0.800
[2026-05-12 02:32:23] #0858/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:32:26] #0859/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 02:32:30] #0860/01443 | true=jogging | pred=jogging | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 02:32:30]   [860/1443] acc=98% filt=844
[2026-05-12 02:32:32] #0861/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:32:40] #0862/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:32:59] #0863/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:33:12] #0864/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 02:33:23] #0865/01443 | true=jogging | pred=jogging | ✓ | ent=0.365 conf=0.920 gap=0.890
[2026-05-12 02:33:35] #0866/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 02:33:46] #0867/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:33:56] #0868/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 02:34:00] #0869/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:34:11] #0870/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 02:34:21] #0871/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 02:34:24] #0872/01443 | true=jogging | pred=jogging | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 02:34:27] #0873/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:34:29] #0874/01443 | true=jogging | pred=jogging | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:34:37] #0875/01443 | true=jogging | pred=jogging | ✓ | ent=0.537 conf=0.850 gap=0.740
[2026-05-12 02:34:52] #0876/01443 | true=jogging | pred=jogging | ✓ | ent=0.933 conf=0.620 gap=0.340
[2026-05-12 02:35:01] #0877/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:35:16] #0878/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 02:35:29] #0879/01443 | true=jogging | pred=jogging | ✓ | ent=0.659 conf=0.780 gap=0.600
[2026-05-12 02:35:39] #0880/01443 | true=jogging | pred=jogging | ✓ | ent=0.662 conf=0.820 gap=0.740
[2026-05-12 02:35:39]   [880/1443] acc=98% filt=864
[2026-05-12 02:35:41] #0881/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:35:46] #0882/01443 | true=jogging | pred=jogging | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 02:36:37] #0883/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 02:36:46] #0884/01443 | true=jogging | pred=jogging | ✓ | ent=0.572 conf=0.820 gap=0.670
[2026-05-12 02:37:43] #0885/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:37:53] #0886/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 02:37:58] #0887/01443 | true=jogging | pred=jogging | ✓ | ent=0.824 conf=0.600 gap=0.250
