[2026-05-11 23:15:06] #0001/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:00:42] #0757/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.235 conf=0.600 gap=0.450
[2026-05-12 03:00:47] #0758/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:00:59] #0759/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 03:01:04] #0760/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 03:01:16] #0761/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:01:19] #0762/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:01:29] #0763/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.741 conf=0.800 gap=0.690
[2026-05-12 03:01:39] #0764/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 03:01:49] #0765/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.046 conf=0.650 gap=0.470
[2026-05-12 03:02:05] #0767/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:03:09] #0768/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 03:03:32] #0770/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.150 conf=0.650 gap=0.530
[2026-05-12 03:03:42] #0771/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 03:03:54] #0772/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.647 conf=0.820 gap=0.710
[2026-05-12 03:04:07] #0773/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 03:04:22] #0774/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 03:05:17] #0775/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:05:40] #0776/01676 | true=upstairs | pred=walking | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:05:44] #0777/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.114 conf=0.650 gap=0.500
[2026-05-12 03:05:48] #0778/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:05:56] #0779/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:06:10] #0780/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 03:06:13] #0781/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:06:16] #0782/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:06:19] #0783/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:06:39] #0784/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 03:06:48] #0785/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:06:51] #0786/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 03:07:11] #0787/01676 | true=upstairs | pred=walking | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:07:21] #0789/01676 | true=upstairs | pred=walking | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:07:35] #0790/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 03:08:04] #0791/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 03:08:18] #0792/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:08:48] #0793/01676 | true=upstairs | pred=walking | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 03:09:00] #0794/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 03:09:35] #0795/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.873 conf=0.720 gap=0.570
[2026-05-12 03:09:37] #0796/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 03:09:57] #0797/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:10:28] #0799/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.681 conf=0.840 gap=0.790
[2026-05-12 03:10:33] #0800/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.816 conf=0.700 gap=0.470
[2026-05-12 03:10:49] #0802/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 03:10:59] #0803/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:11:03] #0804/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:11:07] #0805/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 03:11:21] #0806/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.738 conf=0.730 gap=0.530
[2026-05-12 03:11:35] #0807/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.607 conf=0.850 gap=0.770
[2026-05-12 03:12:00] #0809/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 03:12:38] #0811/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:12:50] #0812/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 03:13:02] #0813/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:13:14] #0814/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.733 conf=0.820 gap=0.750
[2026-05-12 03:13:32] #0817/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:13:58] #0818/01676 | true=upstairs | pred=walking | ✗ | ent=0.688 conf=0.800 gap=0.680
[2026-05-12 03:14:01] #0819/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 03:14:04] #0820/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:14:09] #0821/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:14:29] #0822/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 03:14:41] #0823/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 03:14:53] #0824/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.916 conf=0.720 gap=0.600
[2026-05-12 03:15:13] #0825/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:15:43] #0826/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 03:15:57] #0827/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.700 conf=0.820 gap=0.730
[2026-05-12 03:16:00] #0828/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 03:16:04] #0829/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 03:16:29] #0830/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 03:16:32] #0831/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 03:16:36] #0832/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-12 03:16:50] #0833/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-12 03:16:53] #0834/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 03:17:17] #0835/01676 | true=upstairs | pred=walking | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:17:36] #0836/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 03:17:46] #0837/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 03:17:54] #0838/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:18:14] #0839/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:18:33] #0840/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:18:48] #0841/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:19:41] #0844/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.760 conf=0.720 gap=0.520
[2026-05-12 03:19:43] #0845/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:20:23] #0847/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 03:20:39] #0848/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 03:20:43] #0849/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:20:46] #0850/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 03:21:23] #0851/01676 | true=upstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:21:34] #0852/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.589 conf=0.850 gap=0.770
[2026-05-12 03:22:07] #0853/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:22:21] #0854/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 03:22:25] #0855/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:22:41] #0856/01676 | true=upstairs | pred=walking | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:23:15] #0857/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.912 conf=0.720 gap=0.580
[2026-05-12 03:23:17] #0858/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 03:23:27] #0859/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 03:23:30] #0860/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 03:23:34] #0861/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:23:37] #0862/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:23:50] #0863/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 03:24:15] #0864/01676 | true=upstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:24:19] #0865/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 03:24:22] #0866/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.970 conf=0.700 gap=0.520
[2026-05-12 03:24:55] #0867/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.721 conf=0.810 gap=0.710
[2026-05-12 03:25:11] #0868/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.504 conf=0.880 gap=0.830
[2026-05-12 03:25:21] #0869/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:25:53] #0870/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 03:25:57] #0871/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 03:26:00] #0872/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:26:52] #0874/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 03:27:09] #0875/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.949 conf=0.720 gap=0.580
[2026-05-12 03:27:13] #0876/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 03:27:17] #0877/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-12 03:27:54] #0878/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 03:28:09] #0879/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:28:21] #0880/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.482 conf=0.850 gap=0.720
[2026-05-12 03:28:24] #0881/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.191 conf=0.550 gap=0.310
[2026-05-12 03:28:53] #0882/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 03:29:06] #0883/01676 | true=upstairs | pred=walking | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:29:58] #0884/01676 | true=upstairs | pred=walking | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 03:30:12] #0885/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.836 conf=0.780 gap=0.680
[2026-05-12 03:30:33] #0886/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:30:42] #0887/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.689 conf=0.820 gap=0.740
[2026-05-12 03:31:00] #0888/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.612 conf=0.850 gap=0.780
[2026-05-12 03:31:09] #0889/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.716 conf=0.830 gap=0.780
[2026-05-12 03:31:55] #0890/01676 | true=upstairs | pred=walking | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 03:32:05] #0891/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 03:32:10] #0892/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 03:32:24] #0893/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 03:32:36] #0894/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.595 conf=0.820 gap=0.720
[2026-05-12 03:32:53] #0895/01676 | true=upstairs | pred=walking | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 03:33:04] #0896/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 03:33:08] #0897/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:33:10] #0898/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:33:30] #0899/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:33:57] #0900/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.741 conf=0.800 gap=0.690
[2026-05-12 03:34:00] #0901/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:34:10] #0902/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 03:34:27] #0903/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.971 conf=0.720 gap=0.620
[2026-05-12 03:34:37] #0904/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:34:41] #0905/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 03:34:44] #0906/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.043 conf=0.700 gap=0.600
[2026-05-12 03:34:54] #0907/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.677 conf=0.830 gap=0.750
[2026-05-12 03:35:07] #0908/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.716 conf=0.830 gap=0.780
[2026-05-12 03:35:34] #0909/01676 | true=upstairs | pred=walking | ✗ | ent=0.689 conf=0.800 gap=0.700
[2026-05-12 03:36:06] #0910/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 03:36:19] #0911/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 03:36:36] #0912/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.916 conf=0.720 gap=0.600
[2026-05-12 03:36:47] #0913/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 03:36:56] #0914/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:37:02] #0915/01676 | true=upstairs | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 03:37:07] #0916/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:37:16] #0917/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 03:37:24] #0918/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.209 conf=0.600 gap=0.450
[2026-05-12 03:37:28] #0919/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:37:34] #0920/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:38:27] #0921/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 03:38:30] #0922/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 03:38:38] #0923/01676 | true=upstairs | pred=walking | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 03:39:07] #0924/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:39:26] #0925/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 03:40:33] #0927/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 03:40:36] #0928/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 03:40:39] #0929/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 03:41:06] #0931/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.251 conf=0.600 gap=0.450
[2026-05-12 03:41:17] #0932/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.902 conf=0.720 gap=0.560
[2026-05-12 03:41:20] #0933/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.033 conf=0.660 gap=0.460
[2026-05-12 03:41:24] #0934/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 03:41:26] #0935/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.108 conf=0.650 gap=0.470
[2026-05-12 03:42:19] #0937/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.945 conf=0.550 gap=0.160
[2026-05-12 03:42:22] #0938/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:42:26] #0939/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 03:42:59] #0941/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.529 conf=0.880 gap=0.830
[2026-05-12 03:43:02] #0942/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 03:43:05] #0943/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.717 conf=0.760 gap=0.640
[2026-05-12 03:43:10] #0944/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:43:12] #0945/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:43:24] #0946/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 03:43:36] #0947/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 03:43:46] #0948/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 03:44:06] #0949/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 03:44:45] #0950/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.572 conf=0.820 gap=0.670
[2026-05-12 03:45:02] #0951/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.635 conf=0.850 gap=0.800
[2026-05-12 03:45:16] #0952/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:45:41] #0953/01676 | true=upstairs | pred=walking | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 03:45:45] #0954/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:46:29] #0955/01676 | true=upstairs | pred=walking | ✗ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 03:46:57] #0956/01676 | true=upstairs | pred=walking | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:47:06] #0957/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:47:38] #0958/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 03:47:43] #0959/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 03:47:45] #0960/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.836 conf=0.780 gap=0.680
[2026-05-12 03:47:48] #0961/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.482 conf=0.850 gap=0.720
[2026-05-12 03:47:51] #0962/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:48:19] #0963/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:48:29] #0964/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 03:48:43] #0965/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.949 conf=0.720 gap=0.580
[2026-05-12 03:48:47] #0966/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:48:57] #0967/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 03:49:30] #0969/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:49:56] #0970/01676 | true=upstairs | pred=walking | ✗ | ent=1.035 conf=0.650 gap=0.450
[2026-05-12 03:50:02] #0971/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 03:50:18] #0972/01676 | true=upstairs | pred=walking | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 03:50:38] #0973/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:50:48] #0974/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:50:59] #0976/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.891 conf=0.750 gap=0.630
[2026-05-12 03:51:13] #0977/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 03:51:23] #0978/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:52:00] #0980/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.213 conf=0.550 gap=0.320
[2026-05-12 03:52:26] #0981/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:52:56] #0982/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 03:52:59] #0983/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:53:10] #0984/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.950 conf=0.600 gap=0.400
[2026-05-12 03:53:54] #0985/01676 | true=upstairs | pred=downstairs | ✗ | ent=1.224 conf=0.550 gap=0.300
[2026-05-12 03:53:59] #0986/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.720 gap=0.590
[2026-05-12 03:54:10] #0987/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.595 conf=0.820 gap=0.720
[2026-05-12 03:54:30] #0988/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 03:54:45] #0989/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.983 conf=0.610 gap=0.310
[2026-05-12 03:54:53] #0990/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:54:55] #0991/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 03:55:09] #0992/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 03:55:32] #0993/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 03:55:35] #0994/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.002 conf=0.720 gap=0.620
[2026-05-12 03:55:47] #0995/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 03:56:00] #0996/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.086 conf=0.600 gap=0.350
[2026-05-12 03:56:03] #0997/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:56:11] #0998/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
