[2026-05-11 23:14:52] #0001/03346 | true=standing | pred=standing | ✓ | ent=0.435 conf=0.880 gap=0.780
[2026-05-12 07:48:24] #2702/03346 | true=standing | pred=standing | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-12 07:49:22] #2703/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:49:32] #2704/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 07:49:44] #2705/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 07:49:48] #2706/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:49:58] #2707/03346 | true=standing | pred=standing | ✓ | ent=0.579 conf=0.870 gap=0.820
[2026-05-12 07:50:02] #2708/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:50:06] #2709/03346 | true=standing | pred=standing | ✓ | ent=0.836 conf=0.780 gap=0.680
[2026-05-12 07:50:27] #2710/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:50:30] #2711/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:50:33] #2712/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:50:47] #2713/03346 | true=standing | pred=standing | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 07:50:53] #2714/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-12 07:51:02] #2715/03346 | true=standing | pred=standing | ✓ | ent=0.922 conf=0.500 gap=0.050
[2026-05-12 07:51:05] #2716/03346 | true=standing | pred=standing | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-12 07:51:11] #2717/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 07:51:24] #2718/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:51:27] #2719/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:51:30] #2720/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:51:37] #2721/03346 | true=standing | pred=standing | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:51:57] #2722/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 07:52:00] #2723/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 07:52:08] #2724/03346 | true=standing | pred=standing | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 07:52:10] #2725/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 07:52:13] #2726/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:52:39] #2727/03346 | true=standing | pred=standing | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 07:52:42] #2728/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:52:58] #2729/03346 | true=standing | pred=standing | ✓ | ent=0.994 conf=0.700 gap=0.550
[2026-05-12 07:53:03] #2730/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:53:13] #2731/03346 | true=standing | pred=standing | ✓ | ent=0.249 conf=0.948 gap=0.908
[2026-05-12 07:53:16] #2732/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:53:20] #2733/03346 | true=standing | pred=standing | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 07:53:23] #2734/03346 | true=standing | pred=standing | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 07:53:26] #2735/03346 | true=standing | pred=standing | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-12 07:53:36] #2736/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:53:45] #2737/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:53:55] #2738/03346 | true=standing | pred=standing | ✓ | ent=0.477 conf=0.840 gap=0.690
[2026-05-12 07:54:02] #2739/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 07:54:08] #2740/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 07:54:26] #2741/03346 | true=standing | pred=standing | ✓ | ent=0.401 conf=0.900 gap=0.820
[2026-05-12 07:54:34] #2742/03346 | true=standing | pred=standing | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 07:54:37] #2743/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:54:49] #2744/03346 | true=standing | pred=standing | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 07:54:51] #2745/03346 | true=standing | pred=standing | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:54:54] #2746/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:55:04] #2747/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:55:19] #2748/03346 | true=standing | pred=standing | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:55:24] #2749/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:55:47] #2750/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-12 07:56:03] #2751/03346 | true=standing | pred=standing | ✓ | ent=0.322 conf=0.920 gap=0.850
[2026-05-12 07:56:13] #2752/03346 | true=standing | pred=standing | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 07:56:19] #2753/03346 | true=standing | pred=standing | ✓ | ent=0.706 conf=0.820 gap=0.720
[2026-05-12 07:56:41] #2754/03346 | true=standing | pred=standing | ✓ | ent=0.728 conf=0.820 gap=0.750
[2026-05-12 07:56:45] #2755/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:57:06] #2756/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 07:57:19] #2757/03346 | true=standing | pred=standing | ✓ | ent=0.751 conf=0.820 gap=0.770
[2026-05-12 07:57:23] #2758/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:57:35] #2759/03346 | true=standing | pred=standing | ✓ | ent=0.607 conf=0.850 gap=0.770
[2026-05-12 07:57:49] #2760/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:57:59] #2761/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:58:03] #2762/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:58:08] #2763/03346 | true=standing | pred=standing | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:58:13] #2764/03346 | true=standing | pred=standing | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 07:58:31] #2765/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 07:58:35] #2766/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:58:46] #2767/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:58:49] #2768/03346 | true=standing | pred=standing | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 07:58:53] #2769/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:59:03] #2770/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:59:06] #2771/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:59:08] #2772/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:59:12] #2773/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:59:22] #2774/03346 | true=standing | pred=standing | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 07:59:25] #2775/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 07:59:34] #2776/03346 | true=standing | pred=standing | ✓ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 07:59:38] #2777/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:00:03] #2778/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:00:35] #2780/03346 | true=standing | pred=standing | ✓ | ent=0.912 conf=0.550 gap=0.150
[2026-05-12 08:00:38] #2781/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:00:49] #2782/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:01:04] #2783/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:01:07] #2784/03346 | true=standing | pred=standing | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 08:01:20] #2785/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 08:01:23] #2786/03346 | true=standing | pred=standing | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 08:01:39] #2787/03346 | true=standing | pred=standing | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 08:01:44] #2788/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:01:48] #2789/03346 | true=standing | pred=standing | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 08:02:08] #2790/03346 | true=standing | pred=standing | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 08:02:21] #2791/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:02:43] #2792/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:03:20] #2793/03346 | true=standing | pred=standing | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 08:03:27] #2794/03346 | true=standing | pred=standing | ✓ | ent=0.776 conf=0.800 gap=0.700
[2026-05-12 08:03:46] #2795/03346 | true=standing | pred=standing | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 08:03:50] #2796/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 08:03:53] #2797/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:04:02] #2798/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-12 08:04:13] #2799/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:04:16] #2800/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:04:28] #2801/03346 | true=standing | pred=standing | ✓ | ent=0.329 conf=0.930 gap=0.900
[2026-05-12 08:04:59] #2802/03346 | true=standing | pred=standing | ✓ | ent=0.554 conf=0.880 gap=0.840
[2026-05-12 08:05:02] #2803/03346 | true=standing | pred=standing | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 08:05:10] #2804/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 08:05:18] #2805/03346 | true=standing | pred=standing | ✓ | ent=0.741 conf=0.800 gap=0.680
[2026-05-12 08:05:21] #2806/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 08:05:24] #2807/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:05:50] #2808/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 08:05:54] #2809/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:05:57] #2810/03346 | true=standing | pred=standing | ✓ | ent=0.840 conf=0.500 gap=0.030
[2026-05-12 08:06:14] #2812/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:06:16] #2813/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:06:25] #2814/03346 | true=standing | pred=standing | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 08:06:37] #2815/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:06:47] #2816/03346 | true=standing | pred=standing | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 08:06:58] #2817/03346 | true=standing | pred=standing | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 08:07:09] #2818/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:07:22] #2819/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:07:31] #2820/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:07:41] #2821/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:08:02] #2822/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:08:12] #2823/03346 | true=standing | pred=standing | ✓ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 08:08:21] #2824/03346 | true=standing | pred=standing | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 08:08:24] #2825/03346 | true=standing | pred=standing | ✓ | ent=0.767 conf=0.800 gap=0.700
[2026-05-12 08:08:54] #2826/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:09:24] #2827/03346 | true=standing | pred=standing | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 08:09:32] #2828/03346 | true=standing | pred=standing | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 08:09:37] #2829/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:09:52] #2830/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:10:05] #2831/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:10:32] #2832/03346 | true=standing | pred=standing | ✓ | ent=0.859 conf=0.750 gap=0.600
[2026-05-12 08:10:37] #2833/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 08:10:42] #2834/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:10:57] #2835/03346 | true=standing | pred=standing | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-12 08:11:14] #2836/03346 | true=standing | pred=standing | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 08:11:18] #2837/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:11:23] #2838/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:11:27] #2839/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:11:43] #2840/03346 | true=standing | pred=standing | ✓ | ent=0.540 conf=0.870 gap=0.790
[2026-05-12 08:11:46] #2841/03346 | true=standing | pred=standing | ✓ | ent=0.552 conf=0.880 gap=0.850
[2026-05-12 08:11:59] #2842/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:12:16] #2843/03346 | true=standing | pred=standing | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 08:12:19] #2844/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:12:22] #2845/03346 | true=standing | pred=standing | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 08:12:27] #2846/03346 | true=standing | pred=standing | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:12:40] #2847/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 08:12:52] #2848/03346 | true=standing | pred=standing | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 08:12:56] #2849/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:13:08] #2850/03346 | true=standing | pred=standing | ✓ | ent=0.445 conf=0.910 gap=0.890
[2026-05-12 08:13:10] #2851/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:13:16] #2852/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:13:35] #2853/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:13:43] #2854/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-12 08:13:51] #2855/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:13:54] #2856/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:13:56] #2857/03346 | true=standing | pred=standing | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 08:14:08] #2858/03346 | true=standing | pred=standing | ✓ | ent=0.732 conf=0.820 gap=0.740
[2026-05-12 08:14:37] #2859/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:14:50] #2860/03346 | true=standing | pred=standing | ✓ | ent=0.898 conf=0.550 gap=0.150
[2026-05-12 08:15:00] #2861/03346 | true=standing | pred=standing | ✓ | ent=0.666 conf=0.820 gap=0.700
[2026-05-12 08:15:03] #2862/03346 | true=standing | pred=standing | ✓ | ent=0.554 conf=0.880 gap=0.840
[2026-05-12 08:16:26] #2863/03346 | true=standing | pred=standing | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 08:16:37] #2864/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:16:45] #2866/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:17:04] #2867/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:17:12] #2868/03346 | true=standing | pred=standing | ✓ | ent=0.389 conf=0.900 gap=0.820
[2026-05-12 08:17:14] #2869/03346 | true=standing | pred=standing | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 08:17:24] #2870/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 08:18:01] #2871/03346 | true=standing | pred=standing | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 08:18:10] #2872/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 08:18:21] #2873/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:18:36] #2874/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:18:45] #2875/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:18:51] #2876/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:19:18] #2877/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 08:19:30] #2878/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:19:43] #2879/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:19:49] #2880/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:19:54] #2881/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:19:59] #2882/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:20:03] #2883/03346 | true=standing | pred=standing | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 08:20:09] #2884/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:20:24] #2885/03346 | true=standing | pred=standing | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 08:20:47] #2886/03346 | true=standing | pred=standing | ✓ | ent=0.750 conf=0.800 gap=0.720
[2026-05-12 08:20:51] #2887/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:21:09] #2888/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:21:25] #2889/03346 | true=standing | pred=standing | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 08:21:34] #2890/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 08:21:49] #2891/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:21:55] #2892/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:22:02] #2893/03346 | true=standing | pred=standing | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 08:22:07] #2894/03346 | true=standing | pred=standing | ✓ | ent=0.666 conf=0.820 gap=0.700
[2026-05-12 08:22:11] #2895/03346 | true=standing | pred=standing | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 08:22:13] #2896/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:22:17] #2897/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:22:25] #2898/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:22:30] #2899/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:22:41] #2900/03346 | true=standing | pred=standing | ✓ | ent=0.357 conf=0.930 gap=0.900
[2026-05-12 08:22:45] #2901/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 08:22:49] #2902/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:23:04] #2903/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:23:18] #2904/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:23:35] #2905/03346 | true=standing | pred=standing | ✓ | ent=0.477 conf=0.840 gap=0.690
[2026-05-12 08:23:55] #2906/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:24:10] #2907/03346 | true=standing | pred=standing | ✓ | ent=0.454 conf=0.853 gap=0.713
[2026-05-12 08:24:24] #2908/03346 | true=standing | pred=standing | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 08:24:29] #2909/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:24:33] #2910/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 08:24:35] #2911/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 08:24:40] #2912/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:24:50] #2913/03346 | true=standing | pred=standing | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 08:25:02] #2914/03346 | true=standing | pred=standing | ✓ | ent=0.813 conf=0.700 gap=0.450
[2026-05-12 08:26:03] #2916/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:26:12] #2917/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:26:27] #2918/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:26:42] #2919/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:26:45] #2920/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:26:57] #2921/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:27:02] #2922/03346 | true=standing | pred=standing | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 08:27:24] #2923/03346 | true=standing | pred=standing | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 08:27:28] #2924/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:27:40] #2925/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:27:55] #2926/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 08:28:15] #2927/03346 | true=standing | pred=standing | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 08:28:28] #2928/03346 | true=standing | pred=standing | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 08:28:46] #2929/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:29:00] #2930/03346 | true=standing | pred=standing | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-12 08:29:14] #2931/03346 | true=standing | pred=standing | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 08:29:31] #2932/03346 | true=standing | pred=standing | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 08:29:34] #2933/03346 | true=standing | pred=standing | ✓ | ent=1.373 conf=0.550 gap=0.400
[2026-05-12 08:29:45] #2934/03346 | true=standing | pred=standing | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-12 08:29:59] #2935/03346 | true=standing | pred=standing | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-12 08:30:11] #2936/03346 | true=standing | pred=standing | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 08:30:35] #2937/03346 | true=standing | pred=standing | ✓ | ent=0.876 conf=0.600 gap=0.250
[2026-05-12 08:30:37] #2938/03346 | true=standing | pred=standing | ✓ | ent=0.772 conf=0.800 gap=0.700
[2026-05-12 08:30:52] #2939/03346 | true=standing | pred=standing | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 08:30:55] #2940/03346 | true=standing | pred=standing | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:30:59] #2941/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
