[2026-05-11 21:51:29] HARTH class 2 (shuffle) T=0.8
[2026-05-11 21:51:29]   2770 windows
[2026-05-11 21:51:34] #0001/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:00:45] #1265/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:01:11] #1266/02770 | true=shuffle | pred=stand | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 22:01:15] #1267/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.499 conf=0.450 gap=0.170
[2026-05-13 22:01:36] #1268/02770 | true=shuffle | pred=walk | ✗ | ent=1.079 conf=0.650 gap=0.500
[2026-05-13 22:01:45] #1269/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-13 22:01:59] #1270/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-13 22:02:03] #1271/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:02:27] #1272/02770 | true=shuffle | pred=lying | ✗ | ent=1.591 conf=0.500 gap=0.350
[2026-05-13 22:02:41] #1273/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:02:46] #1274/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:02:50] #1275/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:02:56] #1276/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 22:03:04] #1277/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:03:23] #1278/02770 | true=shuffle | pred=stand | ✗ | ent=1.154 conf=0.560 gap=0.240
[2026-05-13 22:03:27] #1279/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-13 22:03:42] #1280/02770 | true=shuffle | pred=sit | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 22:03:42]   [1280/2770] acc=55% filt=938
[2026-05-13 22:03:45] #1281/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-13 22:03:53] #1282/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 22:04:17] #1283/02770 | true=shuffle | pred=stand | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-13 22:04:25] #1284/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:04:36] #1285/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 22:04:40] #1286/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:05:01] #1287/02770 | true=shuffle | pred=walk | ✗ | ent=1.182 conf=0.700 gap=0.650
[2026-05-13 22:05:17] #1288/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 22:05:29] #1289/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.841 conf=0.700 gap=0.460
[2026-05-13 22:05:33] #1290/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-13 22:05:37] #1291/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:05:40] #1292/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:05:43] #1293/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-13 22:05:48] #1294/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.187 conf=0.450 gap=0.100
[2026-05-13 22:05:57] #1295/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.579 conf=0.871 gap=0.802
[2026-05-13 22:06:19] #1296/02770 | true=shuffle | pred=walk | ✗ | ent=1.654 conf=0.400 gap=0.150
[2026-05-13 22:06:24] #1297/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-13 22:06:39] #1298/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:06:58] #1299/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.623 conf=0.870 gap=0.830
[2026-05-13 22:07:01] #1300/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:07:01]   [1300/2770] acc=55% filt=953
[2026-05-13 22:07:04] #1301/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:07:12] #1302/02770 | true=shuffle | pred=sit | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:07:28] #1303/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:07:48] #1304/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:08:10] #1305/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-13 22:08:26] #1306/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 22:08:35] #1307/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.949 conf=0.450 gap=0.000
[2026-05-13 22:08:40] #1308/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-13 22:08:55] #1309/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-13 22:09:00] #1310/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:09:18] #1311/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 22:09:36] #1312/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:09:44] #1313/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-13 22:10:11] #1314/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.472 conf=0.500 gap=0.350
[2026-05-13 22:10:30] #1315/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:10:56] #1316/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.166 conf=0.550 gap=0.350
[2026-05-13 22:11:19] #1317/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:11:35] #1318/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.408 conf=0.420 gap=0.070
[2026-05-13 22:11:58] #1319/02770 | true=shuffle | pred=stand | ✗ | ent=1.557 conf=0.400 gap=0.100
[2026-05-13 22:12:10] #1320/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:12:10]   [1320/2770] acc=55% filt=966
[2026-05-13 22:12:22] #1321/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:12:46] #1322/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:13:01] #1323/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:13:18] #1324/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-13 22:13:25] #1325/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:13:47] #1326/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:14:04] #1327/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.235 conf=0.650 gap=0.550
[2026-05-13 22:14:21] #1328/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.104 conf=0.650 gap=0.450
[2026-05-13 22:14:28] #1329/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 22:14:36] #1330/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:14:48] #1331/02770 | true=shuffle | pred=stand | ✗ | ent=1.512 conf=0.550 gap=0.400
[2026-05-13 22:15:14] #1332/02770 | true=shuffle | pred=lying | ✗ | ent=1.040 conf=0.730 gap=0.630
[2026-05-13 22:15:29] #1333/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:15:54] #1334/02770 | true=shuffle | pred=walk | ✗ | ent=0.977 conf=0.720 gap=0.600
[2026-05-13 22:16:01] #1335/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:16:18] #1336/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:16:21] #1337/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:16:43] #1338/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.017 conf=0.700 gap=0.520
[2026-05-13 22:16:52] #1339/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:17:01] #1340/02770 | true=shuffle | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 22:17:01]   [1340/2770] acc=55% filt=983
[2026-05-13 22:17:18] #1341/02770 | true=shuffle | pred=stand | ✗ | ent=1.040 conf=0.500 gap=0.250
[2026-05-13 22:17:39] #1342/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 22:18:00] #1343/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.261 conf=0.600 gap=0.400
[2026-05-13 22:18:17] #1344/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:18:25] #1345/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:18:46] #1346/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:18:50] #1347/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.470 conf=0.350 gap=0.100
[2026-05-13 22:19:02] #1348/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.440 conf=0.550 gap=0.400
[2026-05-13 22:19:17] #1349/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:19:23] #1350/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:19:42] #1351/02770 | true=shuffle | pred=stairs_down | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-13 22:20:03] #1352/02770 | true=shuffle | pred=walk | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-13 22:20:10] #1353/02770 | true=shuffle | pred=stand | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-13 22:20:19] #1354/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 22:20:39] #1355/02770 | true=shuffle | pred=stand | ✗ | ent=0.905 conf=0.750 gap=0.600
[2026-05-13 22:20:55] #1356/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:20:58] #1357/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.875 conf=0.590 gap=0.240
[2026-05-13 22:21:19] #1358/02770 | true=shuffle | pred=stand | ✗ | ent=1.164 conf=0.650 gap=0.500
[2026-05-13 22:21:29] #1359/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 22:21:47] #1360/02770 | true=shuffle | pred=walk | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-13 22:21:47]   [1360/2770] acc=55% filt=1001
[2026-05-13 22:22:00] #1361/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:22:26] #1362/02770 | true=shuffle | pred=walk | ✗ | ent=1.716 conf=0.420 gap=0.270
[2026-05-13 22:22:41] #1363/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:23:05] #1364/02770 | true=shuffle | pred=stand | ✗ | ent=1.073 conf=0.600 gap=0.300
[2026-05-13 22:23:25] #1365/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 22:23:33] #1366/02770 | true=shuffle | pred=walk | ✗ | ent=0.683 conf=0.850 gap=0.810
[2026-05-13 22:23:46] #1367/02770 | true=shuffle | pred=walk | ✗ | ent=0.668 conf=0.850 gap=0.800
[2026-05-13 22:24:10] #1368/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.163 conf=0.700 gap=0.620
[2026-05-13 22:24:26] #1369/02770 | true=shuffle | pred=stand | ✗ | ent=1.677 conf=0.450 gap=0.300
[2026-05-13 22:24:37] #1370/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-13 22:24:53] #1371/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.721 conf=0.750 gap=0.550
[2026-05-13 22:25:00] #1372/02770 | true=shuffle | pred=stand | ✗ | ent=0.693 conf=0.800 gap=0.650
[2026-05-13 22:25:04] #1373/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:25:17] #1374/02770 | true=shuffle | pred=stand | ✗ | ent=0.824 conf=0.600 gap=0.250
[2026-05-13 22:25:24] #1375/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.644 conf=0.300 gap=0.000
[2026-05-13 22:25:38] #1376/02770 | true=shuffle | pred=walk | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-13 22:25:46] #1377/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:26:02] #1378/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:26:10] #1379/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:26:30] #1380/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-13 22:26:30]   [1380/2770] acc=55% filt=1016
[2026-05-13 22:26:50] #1381/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:26:54] #1382/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:27:02] #1383/02770 | true=shuffle | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-13 22:27:27] #1384/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.501 conf=0.350 gap=0.070
[2026-05-13 22:27:58] #1385/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-13 22:28:43] #1386/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 22:29:02] #1387/02770 | true=shuffle | pred=walk | ✗ | ent=0.826 conf=0.750 gap=0.650
[2026-05-13 22:29:07] #1388/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:29:43] #1389/02770 | true=shuffle | pred=walk | ✗ | ent=0.655 conf=0.850 gap=0.800
[2026-05-13 22:30:01] #1390/02770 | true=shuffle | pred=run | ✗ | ent=0.790 conf=0.800 gap=0.700
[2026-05-13 22:30:17] #1391/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.495 conf=0.350 gap=0.000
[2026-05-13 22:30:34] #1392/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-13 22:30:49] #1393/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:31:17] #1394/02770 | true=shuffle | pred=stand | ✗ | ent=0.887 conf=0.750 gap=0.600
[2026-05-13 22:31:25] #1395/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-13 22:31:45] #1396/02770 | true=shuffle | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 22:32:00] #1397/02770 | true=shuffle | pred=lying | ✗ | ent=0.246 conf=0.950 gap=0.920
[2026-05-13 22:32:13] #1398/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.353 conf=0.450 gap=0.250
[2026-05-13 22:32:30] #1399/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.566 conf=0.300 gap=0.000
[2026-05-13 22:32:38] #1400/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.787 conf=0.780 gap=0.630
[2026-05-13 22:32:38]   [1400/2770] acc=55% filt=1030
[2026-05-13 22:32:52] #1401/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-13 22:33:01] #1402/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:33:18] #1403/02770 | true=shuffle | pred=stand | ✗ | ent=0.365 conf=0.920 gap=0.870
[2026-05-13 22:33:31] #1404/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:33:37] #1405/02770 | true=shuffle | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 22:33:53] #1406/02770 | true=shuffle | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 22:33:56] #1407/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 22:34:15] #1408/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.061 conf=0.700 gap=0.550
[2026-05-13 22:34:31] #1409/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.868 conf=0.700 gap=0.460
[2026-05-13 22:34:36] #1410/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.262 conf=0.450 gap=0.050
[2026-05-13 22:34:55] #1411/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.053 conf=0.450 gap=0.000
[2026-05-13 22:35:10] #1412/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 22:35:22] #1413/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:35:32] #1414/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 22:35:56] #1415/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-13 22:36:11] #1416/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.203 conf=0.650 gap=0.500
[2026-05-13 22:36:29] #1417/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.935 conf=0.700 gap=0.500
[2026-05-13 22:36:37] #1418/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 22:36:41] #1419/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 22:36:57] #1420/02770 | true=shuffle | pred=walk | ✗ | ent=1.298 conf=0.520 gap=0.270
[2026-05-13 22:36:57]   [1420/2770] acc=55% filt=1046
[2026-05-13 22:37:10] #1421/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.488 conf=0.400 gap=0.100
[2026-05-13 22:37:39] #1422/02770 | true=shuffle | pred=lying | ✗ | ent=1.510 conf=0.350 gap=0.100
[2026-05-13 22:37:50] #1423/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.977 conf=0.700 gap=0.500
[2026-05-13 22:38:02] #1424/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-13 22:38:06] #1425/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.917 conf=0.250 gap=0.050
[2026-05-13 22:38:20] #1426/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.460 conf=0.550 gap=0.430
[2026-05-13 22:38:35] #1427/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 22:38:41] #1428/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.285 conf=0.667 gap=0.619
[2026-05-13 22:38:58] #1429/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.305 conf=0.450 gap=0.150
[2026-05-13 22:39:16] #1430/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:39:31] #1431/02770 | true=shuffle | pred=stand | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-13 22:39:46] #1432/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.420 conf=0.550 gap=0.370
[2026-05-13 22:39:56] #1433/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:39:59] #1434/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-13 22:40:19] #1435/02770 | true=shuffle | pred=lying | ✗ | ent=1.301 conf=0.600 gap=0.450
[2026-05-13 22:40:38] #1436/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:40:59] #1437/02770 | true=shuffle | pred=sit | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 22:41:18] #1438/02770 | true=shuffle | pred=stand | ✗ | ent=1.327 conf=0.550 gap=0.300
[2026-05-13 22:41:22] #1439/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.035 conf=0.750 gap=0.700
[2026-05-13 22:41:44] #1440/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:41:44]   [1440/2770] acc=55% filt=1061
[2026-05-13 22:41:51] #1441/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:42:14] #1442/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.382 conf=0.400 gap=0.000
[2026-05-13 22:42:26] #1443/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.754 conf=0.750 gap=0.550
[2026-05-13 22:42:43] #1444/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:43:06] #1445/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:43:13] #1446/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:43:26] #1447/02770 | true=shuffle | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 22:43:35] #1448/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 22:43:48] #1449/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-13 22:43:54] #1450/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:44:17] #1451/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:44:30] #1452/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.472 conf=0.500 gap=0.350
[2026-05-13 22:44:50] #1453/02770 | true=shuffle | pred=stand | ✗ | ent=0.856 conf=0.500 gap=0.050
[2026-05-13 22:45:18] #1454/02770 | true=shuffle | pred=stand | ✗ | ent=0.961 conf=0.750 gap=0.630
[2026-05-13 22:46:16] #1455/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:46:21] #1456/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.106 conf=0.600 gap=0.450
[2026-05-13 22:46:41] #1457/02770 | true=shuffle | pred=stand | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-13 22:46:51] #1458/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:47:15] #1459/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 22:47:30] #1460/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 22:47:30]   [1460/2770] acc=55% filt=1078
[2026-05-13 22:47:54] #1461/02770 | true=shuffle | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-13 22:48:20] #1462/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:48:29] #1463/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 22:48:53] #1464/02770 | true=shuffle | pred=stand | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-13 22:49:10] #1465/02770 | true=shuffle | pred=walk | ✗ | ent=0.316 conf=0.945 gap=0.935
[2026-05-13 22:49:40] #1466/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.292 conf=0.650 gap=0.560
[2026-05-13 22:49:50] #1467/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:50:00] #1468/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-13 22:50:21] #1469/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 22:50:35] #1470/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:51:04] #1471/02770 | true=shuffle | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 22:51:10] #1472/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 22:51:22] #1473/02770 | true=shuffle | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 22:51:42] #1474/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 22:51:55] #1475/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.970 conf=0.700 gap=0.520
[2026-05-13 22:52:09] #1476/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 22:52:22] #1477/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 22:52:35] #1478/02770 | true=shuffle | pred=stand | ✗ | ent=1.512 conf=0.550 gap=0.400
[2026-05-13 22:52:58] #1479/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.126 conf=0.700 gap=0.580
[2026-05-13 22:53:06] #1480/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 22:53:06]   [1480/2770] acc=54% filt=1097
[2026-05-13 22:53:27] #1481/02770 | true=shuffle | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
