[2026-05-11 21:51:38] #0002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 04:30:38] #1158/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 04:31:11] #1159/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:31:16] #1160/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:31:58] #1162/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.204 conf=0.680 gap=0.580
[2026-05-12 04:32:11] #1163/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-12 04:32:30] #1165/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.783 conf=0.250 gap=0.000
[2026-05-12 04:33:26] #1168/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:33:39] #1169/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.924 conf=0.780 gap=0.730
[2026-05-12 04:34:08] #1171/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:34:13] #1172/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:34:15] #1173/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:34:23] #1174/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-12 04:34:33] #1175/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.468 conf=0.550 gap=0.430
[2026-05-12 04:34:47] #1176/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:35:59] #1179/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 04:36:43] #1181/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 04:37:29] #1184/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 04:37:34] #1185/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:38:45] #1187/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:38:58] #1188/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.496 conf=0.450 gap=0.250
[2026-05-12 04:39:08] #1189/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.672 conf=0.350 gap=0.050
[2026-05-12 04:39:47] #1192/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.934 conf=0.250 gap=0.100
[2026-05-12 04:39:57] #1193/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.557 conf=0.400 gap=0.200
[2026-05-12 04:40:36] #1195/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 04:40:53] #1196/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 04:41:10] #1197/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:41:19] #1198/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 04:41:45] #1199/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.163 conf=0.700 gap=0.620
[2026-05-12 04:42:30] #1202/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.720 conf=0.840 gap=0.790
[2026-05-12 04:43:18] #1204/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-12 04:44:23] #1205/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:45:05] #1207/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.448 conf=0.350 gap=0.050
[2026-05-12 04:45:53] #1212/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:46:08] #1213/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 04:48:06] #1215/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.466 conf=0.450 gap=0.200
[2026-05-12 04:48:19] #1216/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 04:49:10] #1219/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 04:49:23] #1220/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.032 conf=0.750 gap=0.700
[2026-05-12 04:49:42] #1222/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.513 conf=0.450 gap=0.300
[2026-05-12 04:49:45] #1223/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:50:16] #1226/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.303 conf=0.500 gap=0.250
[2026-05-12 04:50:28] #1227/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.373 conf=0.450 gap=0.100
[2026-05-12 04:51:52] #1230/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:53:21] #1234/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:53:23] #1235/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:53:49] #1237/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.569 conf=0.350 gap=0.050
[2026-05-12 04:54:34] #1241/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:55:11] #1243/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 04:55:48] #1245/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.290 conf=0.650 gap=0.570
[2026-05-12 04:56:45] #1248/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 04:59:30] #1254/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:59:46] #1255/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:00:31] #1258/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:00:52] #1259/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:01:12] #1260/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:02:51] #1262/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.898 conf=0.670 gap=0.400
[2026-05-12 05:03:23] #1264/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:03:37] #1265/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 05:03:55] #1267/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.610 conf=0.350 gap=0.070
[2026-05-12 05:04:38] #1269/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 05:05:13] #1270/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.251 conf=0.650 gap=0.550
[2026-05-12 05:05:30] #1271/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.947 conf=0.750 gap=0.630
[2026-05-12 05:06:16] #1273/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.481 conf=0.400 gap=0.050
[2026-05-12 05:07:17] #1274/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:08:37] #1278/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:08:47] #1279/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.385 conf=0.450 gap=0.100
[2026-05-12 05:09:31] #1281/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.321 conf=0.600 gap=0.450
[2026-05-12 05:09:42] #1282/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:10:34] #1283/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 05:11:25] #1285/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:11:32] #1286/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:12:37] #1288/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 05:12:40] #1289/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:12:44] #1290/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:12:47] #1291/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.986 conf=0.480 gap=0.020
[2026-05-12 05:13:02] #1292/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:13:23] #1293/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 05:13:29] #1294/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.240 conf=0.350 gap=0.050
[2026-05-12 05:13:38] #1295/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 05:13:42] #1296/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:13:45] #1297/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:14:03] #1299/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.228 conf=0.600 gap=0.400
[2026-05-12 05:14:23] #1300/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:14:45] #1301/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:15:19] #1303/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.950 conf=0.720 gap=0.540
[2026-05-12 05:15:53] #1305/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 05:16:24] #1308/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 05:17:08] #1310/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:17:20] #1311/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.721 conf=0.750 gap=0.550
[2026-05-12 05:17:35] #1313/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.541 conf=0.450 gap=0.200
[2026-05-12 05:17:42] #1314/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.844 conf=0.800 gap=0.750
[2026-05-12 05:18:03] #1315/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.868 conf=0.700 gap=0.460
[2026-05-12 05:18:34] #1317/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:18:55] #1319/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 05:19:31] #1321/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:20:19] #1325/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:20:57] #1327/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 05:22:06] #1332/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:23:24] #1336/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.950 conf=0.720 gap=0.540
[2026-05-12 05:23:31] #1337/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.256 conf=0.650 gap=0.520
[2026-05-12 05:23:38] #1338/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:24:17] #1341/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.960 conf=0.660 gap=0.400
[2026-05-12 05:25:44] #1345/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:26:14] #1346/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:26:18] #1347/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 05:26:47] #1348/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-12 05:27:21] #1350/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:28:35] #1353/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 05:29:25] #1355/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.970 conf=0.720 gap=0.550
[2026-05-12 05:29:29] #1356/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.048 conf=0.600 gap=0.300
[2026-05-12 05:29:37] #1357/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:29:44] #1358/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.635 conf=0.850 gap=0.800
[2026-05-12 05:30:05] #1359/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 05:30:40] #1361/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 05:31:43] #1364/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 05:32:17] #1365/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.140 conf=0.650 gap=0.450
[2026-05-12 05:33:40] #1370/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 05:34:39] #1373/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.966 conf=0.750 gap=0.670
[2026-05-12 05:34:53] #1374/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 05:37:12] #1379/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 05:37:35] #1380/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 05:38:10] #1382/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:39:08] #1385/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:39:26] #1386/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.534 conf=0.820 gap=0.660
[2026-05-12 05:39:40] #1387/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.618 conf=0.350 gap=0.050
[2026-05-12 05:39:54] #1388/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.956 conf=0.500 gap=0.060
[2026-05-12 05:41:22] #1392/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:41:45] #1394/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 05:43:39] #1398/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.206 conf=0.550 gap=0.250
[2026-05-12 05:44:55] #1400/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:45:26] #1402/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.180 conf=0.600 gap=0.350
[2026-05-12 05:46:13] #1405/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.522 conf=0.450 gap=0.250
[2026-05-12 05:46:32] #1406/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:48:46] #1409/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:49:08] #1410/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:49:27] #1412/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:49:43] #1413/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:51:55] #1419/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 05:52:53] #1421/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 05:53:38] #1423/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:54:36] #1426/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.443 conf=0.550 gap=0.400
[2026-05-12 05:55:16] #1428/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.680 conf=0.250 gap=0.000
[2026-05-12 05:55:41] #1430/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 05:56:11] #1431/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:56:27] #1432/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:58:33] #1434/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.158 conf=0.700 gap=0.620
[2026-05-12 05:59:04] #1436/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:59:14] #1438/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 05:59:43] #1439/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.543 conf=0.350 gap=0.050
[2026-05-12 06:00:38] #1443/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:00:54] #1444/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 06:01:29] #1445/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 06:02:38] #1449/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 06:04:18] #1453/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 06:04:30] #1454/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 06:04:43] #1455/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 06:04:54] #1456/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 06:04:57] #1457/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:05:10] #1458/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.414 conf=0.400 gap=0.050
[2026-05-12 06:05:30] #1459/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:06:55] #1464/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.127 conf=0.700 gap=0.600
[2026-05-12 06:07:59] #1466/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 06:08:07] #1467/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 06:08:14] #1468/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.069 conf=0.550 gap=0.190
[2026-05-12 06:10:08] #1471/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 06:10:11] #1472/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:11:26] #1475/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.807 conf=0.580 gap=0.190
[2026-05-12 06:12:33] #1478/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.032 conf=0.650 gap=0.400
[2026-05-12 06:12:51] #1479/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:14:19] #1482/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 06:14:41] #1483/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:14:59] #1484/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:15:43] #1487/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:15:46] #1488/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:16:23] #1490/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.919 conf=0.780 gap=0.730
[2026-05-12 06:16:59] #1492/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 06:17:08] #1493/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:17:37] #1494/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.106 conf=0.450 gap=0.050
[2026-05-12 06:17:50] #1495/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:17:59] #1496/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:18:08] #1497/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.124 conf=0.450 gap=0.000
[2026-05-12 06:18:21] #1498/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:18:41] #1499/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:19:14] #1502/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 06:20:12] #1505/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 06:21:34] #1507/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.536 conf=0.400 gap=0.150
[2026-05-12 06:22:29] #1510/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.127 conf=0.700 gap=0.600
[2026-05-12 06:23:02] #1512/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.798 conf=0.820 gap=0.780
[2026-05-12 06:23:09] #1513/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 06:23:39] #1514/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 06:23:41] #1515/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:24:55] #1518/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:25:14] #1519/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.103 conf=0.650 gap=0.500
[2026-05-12 06:25:30] #1520/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 06:25:33] #1521/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:25:37] #1522/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.633 conf=0.350 gap=0.050
[2026-05-12 06:25:59] #1524/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 06:26:08] #1525/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.637 conf=0.850 gap=0.780
[2026-05-12 06:26:43] #1527/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:27:48] #1530/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.878 conf=0.650 gap=0.350
[2026-05-12 06:29:15] #1535/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-12 06:30:14] #1537/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:31:13] #1538/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 06:31:16] #1539/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:31:25] #1540/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:32:34] #1542/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 06:33:25] #1546/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.217 conf=0.550 gap=0.250
[2026-05-12 06:34:00] #1549/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 06:34:02] #1550/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 06:35:47] #1554/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:35:52] #1555/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 06:36:43] #1557/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 06:37:02] #1558/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.579 conf=0.871 gap=0.802
[2026-05-12 06:37:07] #1559/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:38:29] #1561/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:39:02] #1564/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 06:39:22] #1565/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:39:50] #1567/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:40:07] #1569/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:40:11] #1570/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:40:30] #1571/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
