=== MotionSense all ===


--- Class 0 ---
[2026-05-11 23:14:13] MotionSense class 0 (downstairs) T=0.8
[2026-05-11 23:14:13]   1395 windows
[2026-05-11 23:14:53] #0001/01395 | true=downstairs | pred=walking | ✗ | ent=1.361 conf=0.450 gap=0.200
[2026-05-12 14:32:21] #3318/03743 | true=walking | pred=downstairs | ✗ | ent=1.106 conf=0.450 gap=0.050
[2026-05-12 14:32:49] #3319/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 14:32:52] #3320/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 14:32:52]   [3320/3743] acc=73% filt=2757
[2026-05-12 14:32:56] #3321/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 14:33:19] #3322/03743 | true=walking | pred=downstairs | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 14:33:32] #3323/03743 | true=walking | pred=walking | ✓ | ent=0.964 conf=0.690 gap=0.510
[2026-05-12 14:33:46] #3324/03743 | true=walking | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 14:34:03] #3325/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:34:16] #3326/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:34:25] #3327/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 14:34:28] #3328/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 14:34:44] #3329/03743 | true=walking | pred=walking | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 14:35:11] #3330/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 14:35:21] #3331/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-12 14:35:33] #3332/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 14:35:39] #3333/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:35:47] #3334/03743 | true=walking | pred=walking | ✓ | ent=1.052 conf=0.650 gap=0.500
[2026-05-12 14:35:52] #3335/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-12 14:35:55] #3336/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 14:36:04] #3337/03743 | true=walking | pred=walking | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 14:36:08] #3338/03743 | true=walking | pred=walking | ✓ | ent=1.136 conf=0.550 gap=0.300
[2026-05-12 14:36:24] #3339/03743 | true=walking | pred=walking | ✓ | ent=0.970 conf=0.600 gap=0.280
[2026-05-12 14:36:28] #3340/03743 | true=walking | pred=walking | ✓ | ent=1.214 conf=0.450 gap=0.100
[2026-05-12 14:36:28]   [3340/3743] acc=74% filt=2772
[2026-05-12 14:36:52] #3341/03743 | true=walking | pred=walking | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 14:36:55] #3342/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 14:37:09] #3343/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 14:37:15] #3344/03743 | true=walking | pred=walking | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-12 14:37:26] #3345/03743 | true=walking | pred=walking | ✓ | ent=0.689 conf=0.800 gap=0.700
[2026-05-12 14:37:44] #3346/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:37:59] #3347/03743 | true=walking | pred=walking | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 14:38:02] #3348/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:38:17] #3349/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 14:38:55] #3350/03743 | true=walking | pred=upstairs | ✗ | ent=0.733 conf=0.820 gap=0.750
[2026-05-12 14:39:09] #3351/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:39:19] #3352/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:39:36] #3353/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:39:45] #3354/03743 | true=walking | pred=walking | ✓ | ent=1.086 conf=0.600 gap=0.350
[2026-05-12 14:39:53] #3355/03743 | true=walking | pred=upstairs | ✗ | ent=1.017 conf=0.550 gap=0.190
[2026-05-12 14:40:04] #3356/03743 | true=walking | pred=walking | ✓ | ent=0.780 conf=0.730 gap=0.530
[2026-05-12 14:40:29] #3357/03743 | true=walking | pred=jogging | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:40:42] #3358/03743 | true=walking | pred=walking | ✓ | ent=0.851 conf=0.690 gap=0.440
[2026-05-12 14:40:44] #3359/03743 | true=walking | pred=walking | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 14:41:13] #3360/03743 | true=walking | pred=upstairs | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 14:41:13]   [3360/3743] acc=73% filt=2791
[2026-05-12 14:41:17] #3361/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 14:41:24] #3362/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 14:41:38] #3363/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:41:51] #3364/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 14:41:59] #3365/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 14:42:03] #3366/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 14:42:10] #3367/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-12 14:42:18] #3368/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:42:27] #3369/03743 | true=walking | pred=jogging | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 14:42:42] #3370/03743 | true=walking | pred=walking | ✓ | ent=0.822 conf=0.750 gap=0.630
[2026-05-12 14:42:45] #3371/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:42:52] #3372/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:42:57] #3373/03743 | true=walking | pred=walking | ✓ | ent=1.086 conf=0.600 gap=0.350
[2026-05-12 14:43:11] #3374/03743 | true=walking | pred=walking | ✓ | ent=0.648 conf=0.840 gap=0.760
[2026-05-12 14:43:29] #3375/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:43:42] #3376/03743 | true=walking | pred=walking | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 14:44:05] #3377/03743 | true=walking | pred=upstairs | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 14:44:11] #3378/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 14:44:25] #3379/03743 | true=walking | pred=upstairs | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 14:44:42] #3380/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 14:44:42]   [3380/3743] acc=74% filt=2809
[2026-05-12 14:44:46] #3381/03743 | true=walking | pred=walking | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-12 14:44:52] #3382/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 14:44:58] #3383/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:45:09] #3384/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 14:45:11] #3385/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-12 14:45:15] #3386/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:45:26] #3387/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 14:45:39] #3388/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:45:49] #3389/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 14:45:51] #3390/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:46:09] #3391/03743 | true=walking | pred=walking | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 14:46:18] #3392/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 14:46:29] #3393/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:46:43] #3394/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 14:46:52] #3395/03743 | true=walking | pred=walking | ✓ | ent=0.732 conf=0.800 gap=0.680
[2026-05-12 14:47:06] #3396/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 14:47:19] #3397/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:47:30] #3398/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:47:42] #3399/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:47:56] #3400/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:47:56]   [3400/3743] acc=74% filt=2827
[2026-05-12 14:48:10] #3401/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 14:48:22] #3402/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:48:26] #3403/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 14:48:40] #3404/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:48:42] #3405/03743 | true=walking | pred=walking | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 14:49:12] #3406/03743 | true=walking | pred=jogging | ✗ | ent=0.816 conf=0.700 gap=0.470
[2026-05-12 14:49:15] #3407/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 14:49:38] #3408/03743 | true=walking | pred=upstairs | ✗ | ent=1.075 conf=0.650 gap=0.500
[2026-05-12 14:49:47] #3409/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:50:05] #3410/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:50:21] #3411/03743 | true=walking | pred=walking | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 14:50:42] #3412/03743 | true=walking | pred=jogging | ✗ | ent=1.202 conf=0.450 gap=0.200
[2026-05-12 14:50:48] #3413/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 14:51:01] #3414/03743 | true=walking | pred=downstairs | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 14:51:05] #3415/03743 | true=walking | pred=walking | ✓ | ent=0.756 conf=0.800 gap=0.700
[2026-05-12 14:51:12] #3416/03743 | true=walking | pred=walking | ✓ | ent=1.091 conf=0.650 gap=0.500
[2026-05-12 14:51:31] #3417/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 14:51:34] #3418/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:51:50] #3419/03743 | true=walking | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 14:51:53] #3420/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.800 gap=0.650
[2026-05-12 14:51:53]   [3420/3743] acc=74% filt=2844
[2026-05-12 14:52:05] #3421/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 14:52:07] #3422/03743 | true=walking | pred=walking | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 14:52:10] #3423/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 14:52:29] #3424/03743 | true=walking | pred=walking | ✓ | ent=0.732 conf=0.800 gap=0.680
[2026-05-12 14:53:00] #3425/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 14:53:06] #3426/03743 | true=walking | pred=upstairs | ✗ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 14:53:25] #3427/03743 | true=walking | pred=walking | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 14:53:48] #3428/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:54:04] #3429/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:54:14] #3430/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:54:31] #3431/03743 | true=walking | pred=walking | ✓ | ent=0.570 conf=0.870 gap=0.820
[2026-05-12 14:54:38] #3432/03743 | true=walking | pred=upstairs | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 14:54:48] #3433/03743 | true=walking | pred=walking | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 14:54:59] #3434/03743 | true=walking | pred=walking | ✓ | ent=1.166 conf=0.550 gap=0.350
[2026-05-12 14:55:04] #3435/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 14:55:17] #3436/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:55:25] #3437/03743 | true=walking | pred=upstairs | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 14:55:30] #3438/03743 | true=walking | pred=walking | ✓ | ent=0.940 conf=0.700 gap=0.600
[2026-05-12 14:55:53] #3439/03743 | true=walking | pred=upstairs | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:56:20] #3440/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 14:56:20]   [3440/3743] acc=74% filt=2864
[2026-05-12 14:56:46] #3441/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:56:55] #3442/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:57:16] #3443/03743 | true=walking | pred=upstairs | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 14:57:35] #3444/03743 | true=walking | pred=upstairs | ✗ | ent=0.902 conf=0.720 gap=0.560
[2026-05-12 14:57:39] #3445/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:57:55] #3446/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:58:02] #3447/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-12 14:58:15] #3448/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:58:26] #3449/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 14:58:33] #3450/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:58:37] #3451/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 14:58:52] #3452/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 14:59:03] #3453/03743 | true=walking | pred=walking | ✓ | ent=0.931 conf=0.700 gap=0.520
[2026-05-12 14:59:24] #3454/03743 | true=walking | pred=walking | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:59:37] #3455/03743 | true=walking | pred=upstairs | ✗ | ent=0.681 conf=0.840 gap=0.790
[2026-05-12 15:00:00] #3456/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:00:22] #3457/03743 | true=walking | pred=walking | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 15:00:40] #3458/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 15:00:52] #3459/03743 | true=walking | pred=upstairs | ✗ | ent=1.402 conf=0.500 gap=0.300
[2026-05-12 15:01:00] #3460/03743 | true=walking | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 15:01:00]   [3460/3743] acc=74% filt=2882
[2026-05-12 15:01:13] #3461/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 15:01:29] #3462/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 15:01:35] #3463/03743 | true=walking | pred=upstairs | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 15:01:47] #3464/03743 | true=walking | pred=walking | ✓ | ent=1.021 conf=0.650 gap=0.500
[2026-05-12 15:02:04] #3465/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 15:02:17] #3466/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 15:02:25] #3467/03743 | true=walking | pred=walking | ✓ | ent=1.330 conf=0.550 gap=0.350
[2026-05-12 15:02:29] #3468/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 15:02:53] #3469/03743 | true=walking | pred=walking | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-12 15:03:03] #3470/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 15:03:20] #3471/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:03:23] #3472/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 15:03:41] #3473/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 15:03:43] #3474/03743 | true=walking | pred=walking | ✓ | ent=1.402 conf=0.500 gap=0.300
[2026-05-12 15:03:51] #3475/03743 | true=walking | pred=walking | ✓ | ent=0.987 conf=0.480 gap=0.030
[2026-05-12 15:04:05] #3476/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:04:08] #3477/03743 | true=walking | pred=walking | ✓ | ent=1.337 conf=0.510 gap=0.310
[2026-05-12 15:04:19] #3478/03743 | true=walking | pred=upstairs | ✗ | ent=0.901 conf=0.760 gap=0.660
[2026-05-12 15:04:28] #3479/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 15:04:39] #3480/03743 | true=walking | pred=walking | ✓ | ent=1.013 conf=0.600 gap=0.350
[2026-05-12 15:04:39]   [3480/3743] acc=74% filt=2899
[2026-05-12 15:05:00] #3481/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:05:12] #3482/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 15:05:37] #3483/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:05:51] #3484/03743 | true=walking | pred=upstairs | ✗ | ent=0.555 conf=0.850 gap=0.770
[2026-05-12 15:06:14] #3485/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 15:06:28] #3486/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 15:06:50] #3487/03743 | true=walking | pred=walking | ✓ | ent=0.650 conf=0.800 gap=0.660
[2026-05-12 15:07:02] #3488/03743 | true=walking | pred=walking | ✓ | ent=0.822 conf=0.750 gap=0.630
[2026-05-12 15:07:07] #3489/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 15:07:21] #3490/03743 | true=walking | pred=downstairs | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 15:07:26] #3491/03743 | true=walking | pred=walking | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 15:07:30] #3492/03743 | true=walking | pred=walking | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 15:07:42] #3493/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 15:07:58] #3494/03743 | true=walking | pred=walking | ✓ | ent=1.067 conf=0.450 gap=0.150
[2026-05-12 15:08:01] #3495/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 15:08:15] #3496/03743 | true=walking | pred=walking | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 15:08:26] #3497/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:08:42] #3498/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:08:53] #3499/03743 | true=walking | pred=walking | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 15:09:05] #3500/03743 | true=walking | pred=upstairs | ✗ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 15:09:05]   [3500/3743] acc=74% filt=2918
[2026-05-12 15:09:16] #3501/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:09:22] #3502/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 15:09:29] #3503/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 15:09:43] #3504/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 15:09:56] #3505/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 15:09:59] #3506/03743 | true=walking | pred=walking | ✓ | ent=1.268 conf=0.550 gap=0.350
[2026-05-12 15:10:09] #3507/03743 | true=walking | pred=walking | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 15:10:18] #3508/03743 | true=walking | pred=walking | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 15:10:28] #3509/03743 | true=walking | pred=walking | ✓ | ent=0.864 conf=0.740 gap=0.590
[2026-05-12 15:10:35] #3510/03743 | true=walking | pred=jogging | ✗ | ent=1.167 conf=0.400 gap=0.000
[2026-05-12 15:10:50] #3511/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 15:10:59] #3512/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:11:13] #3513/03743 | true=walking | pred=upstairs | ✗ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 15:11:20] #3514/03743 | true=walking | pred=upstairs | ✗ | ent=1.075 conf=0.650 gap=0.500
[2026-05-12 15:11:30] #3515/03743 | true=walking | pred=upstairs | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 15:11:39] #3516/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:11:58] #3517/03743 | true=walking | pred=jogging | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 15:12:03] #3518/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 15:12:26] #3519/03743 | true=walking | pred=upstairs | ✗ | ent=0.579 conf=0.870 gap=0.820
[2026-05-12 15:12:30] #3520/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 15:12:30]   [3520/3743] acc=74% filt=2936
[2026-05-12 15:12:47] #3521/03743 | true=walking | pred=upstairs | ✗ | ent=0.924 conf=0.700 gap=0.500
[2026-05-12 15:12:57] #3522/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 15:13:00] #3523/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:13:31] #3524/03743 | true=walking | pred=jogging | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 15:13:45] #3525/03743 | true=walking | pred=upstairs | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 15:13:48] #3526/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 15:14:09] #3527/03743 | true=walking | pred=upstairs | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 15:14:22] #3528/03743 | true=walking | pred=walking | ✓ | ent=1.080 conf=0.580 gap=0.280
[2026-05-12 15:14:35] #3529/03743 | true=walking | pred=downstairs | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 15:14:54] #3530/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 15:15:05] #3531/03743 | true=walking | pred=walking | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 15:15:24] #3532/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 15:15:32] #3533/03743 | true=walking | pred=walking | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 15:15:40] #3534/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-12 15:15:49] #3535/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 15:16:00] #3536/03743 | true=walking | pred=walking | ✓ | ent=0.927 conf=0.590 gap=0.240
[2026-05-12 15:16:19] #3537/03743 | true=walking | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 15:16:45] #3538/03743 | true=walking | pred=upstairs | ✗ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 15:17:02] #3539/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 15:17:05] #3540/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 15:17:05]   [3540/3743] acc=74% filt=2955
[2026-05-12 15:17:08] #3541/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:17:22] #3542/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:17:41] #3543/03743 | true=walking | pred=walking | ✓ | ent=0.965 conf=0.690 gap=0.540
