[2026-05-12 10:27:49] PAMAP2 class 2 (standing) start T=0.8
[2026-05-12 10:27:49]   1989 windows
[2026-05-12 10:28:04] #0001/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 17:59:26] #1577/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 17:59:37] #1578/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 17:59:47] #1579/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 17:59:57] #1580/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 17:59:57]   [1580/1989] acc=1179/1580=75% filt=1530
[2026-05-12 18:00:06] #1581/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 18:00:20] #1582/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.566 conf=0.860 gap=0.780
[2026-05-12 18:00:40] #1583/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:00:53] #1584/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 18:01:07] #1585/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 18:01:22] #1586/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 18:01:50] #1587/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.234 conf=0.950 gap=0.910
[2026-05-12 18:02:06] #1588/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:02:43] #1589/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 18:02:54] #1590/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 18:03:10] #1591/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 18:03:30] #1592/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 18:03:53] #1593/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.085 conf=0.450 gap=0.050
[2026-05-12 18:04:04] #1594/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.783 conf=0.780 gap=0.680
[2026-05-12 18:04:16] #1595/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 18:04:28] #1596/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.619 conf=0.850 gap=0.790
[2026-05-12 18:04:39] #1597/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 18:04:57] #1598/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:05:06] #1599/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 18:05:27] #1600/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 18:05:27]   [1600/1989] acc=1192/1600=74% filt=1549
[2026-05-12 18:05:55] #1601/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 18:06:13] #1602/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.227 conf=0.940 gap=0.880
[2026-05-12 18:06:34] #1603/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 18:06:52] #1604/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 18:07:03] #1605/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 18:07:23] #1606/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.076 conf=0.550 gap=0.300
[2026-05-12 18:07:43] #1607/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 18:08:03] #1608/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 18:08:23] #1609/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 18:08:25] #1610/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 18:08:46] #1611/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:08:56] #1612/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 18:09:05] #1613/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.887 conf=0.750 gap=0.650
[2026-05-12 18:09:16] #1614/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 18:09:27] #1615/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 18:09:30] #1616/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 18:09:50] #1617/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:10:00] #1618/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 18:10:12] #1619/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.808 conf=0.780 gap=0.680
[2026-05-12 18:10:21] #1620/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 18:10:21]   [1620/1989] acc=1205/1620=74% filt=1569
[2026-05-12 18:10:29] #1621/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.713 conf=0.800 gap=0.680
[2026-05-12 18:10:38] #1622/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 18:10:53] #1623/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 18:11:04] #1624/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 18:11:16] #1625/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 18:11:30] #1626/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 18:11:52] #1627/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 18:12:02] #1628/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:12:25] #1629/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 18:12:53] #1630/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 18:13:13] #1631/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 18:13:23] #1632/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:13:31] #1633/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 18:13:50] #1634/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 18:14:01] #1635/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 18:14:14] #1636/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 18:14:29] #1637/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 18:14:39] #1638/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.722 conf=0.800 gap=0.680
[2026-05-12 18:14:58] #1639/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 18:15:08] #1640/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 18:15:08]   [1640/1989] acc=1220/1640=74% filt=1589
[2026-05-12 18:15:17] #1641/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.999 conf=0.650 gap=0.430
[2026-05-12 18:15:46] #1642/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 18:16:24] #1643/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:16:34] #1644/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:16:50] #1645/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.709 conf=0.820 gap=0.750
[2026-05-12 18:17:02] #1646/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 18:17:13] #1647/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:17:23] #1648/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.975 conf=0.700 gap=0.550
[2026-05-12 18:17:39] #1649/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.770 conf=0.700 gap=0.440
[2026-05-12 18:17:56] #1650/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:18:04] #1651/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 18:18:13] #1652/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 18:18:21] #1653/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:18:29] #1654/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 18:18:37] #1655/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 18:18:47] #1656/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 18:19:00] #1657/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.948 conf=0.720 gap=0.600
[2026-05-12 18:19:08] #1658/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:19:21] #1659/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 18:19:32] #1660/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 18:19:32]   [1660/1989] acc=1237/1660=75% filt=1609
[2026-05-12 18:19:55] #1661/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 18:20:03] #1662/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 18:20:14] #1663/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 18:20:26] #1664/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 18:20:41] #1665/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:20:54] #1666/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:21:02] #1667/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 18:21:10] #1668/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 18:21:28] #1669/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 18:21:41] #1670/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.682 conf=0.820 gap=0.720
[2026-05-12 18:22:09] #1671/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.560 conf=0.870 gap=0.820
[2026-05-12 18:22:20] #1672/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 18:22:57] #1673/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 18:23:18] #1674/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 18:23:26] #1675/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 18:23:41] #1676/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 18:23:55] #1677/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 18:24:08] #1678/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 18:24:22] #1679/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.863 conf=0.700 gap=0.480
[2026-05-12 18:24:34] #1680/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 18:24:34]   [1680/1989] acc=1253/1680=75% filt=1629
[2026-05-12 18:24:47] #1681/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 18:24:55] #1682/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 18:25:24] #1683/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 18:25:34] #1684/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.690 conf=0.820 gap=0.740
[2026-05-12 18:25:57] #1685/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 18:26:08] #1686/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 18:26:21] #1687/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 18:26:31] #1688/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 18:26:49] #1689/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 18:27:00] #1690/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 18:27:12] #1691/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 18:27:20] #1692/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 18:27:31] #1693/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 18:27:42] #1694/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 18:27:54] #1695/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 18:28:13] #1696/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.483 conf=0.890 gap=0.840
[2026-05-12 18:28:25] #1697/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 18:29:00] #1698/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.839 conf=0.720 gap=0.540
[2026-05-12 18:29:27] #1699/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.739 conf=0.800 gap=0.720
[2026-05-12 18:29:45] #1700/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:29:45]   [1700/1989] acc=1270/1700=75% filt=1649
[2026-05-12 18:30:07] #1701/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 18:30:22] #1702/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:30:42] #1703/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.239 conf=0.400 gap=0.050
[2026-05-12 18:31:21] #1704/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 18:31:45] #1705/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 18:31:47] #1706/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 18:31:54] #1707/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 18:32:15] #1708/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:32:38] #1709/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 18:32:42] #1710/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 18:32:50] #1711/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 18:33:01] #1712/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 18:33:13] #1713/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.560 conf=0.870 gap=0.820
[2026-05-12 18:33:22] #1714/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.758 conf=0.800 gap=0.720
[2026-05-12 18:33:48] #1715/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 18:33:58] #1716/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:34:19] #1717/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 18:34:29] #1718/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 18:34:39] #1719/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.543 conf=0.850 gap=0.750
[2026-05-12 18:34:49] #1720/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 18:34:49]   [1720/1989] acc=1285/1720=75% filt=1668
[2026-05-12 18:34:59] #1721/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.560 conf=0.870 gap=0.820
[2026-05-12 18:35:09] #1722/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.887 conf=0.750 gap=0.650
[2026-05-12 18:35:11] #1723/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 18:35:47] #1724/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 18:35:58] #1725/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.750 conf=0.800 gap=0.720
[2026-05-12 18:36:11] #1726/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 18:36:19] #1727/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 18:36:27] #1728/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 18:36:47] #1729/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.740 conf=0.780 gap=0.630
[2026-05-12 18:37:20] #1730/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 18:37:28] #1731/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 18:37:42] #1732/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:37:52] #1733/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 18:38:03] #1734/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:38:32] #1735/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:38:45] #1736/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 18:39:07] #1737/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 18:39:20] #1738/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 18:39:32] #1739/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 18:39:43] #1740/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 18:39:43]   [1740/1989] acc=1300/1740=75% filt=1688
[2026-05-12 18:39:52] #1741/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.975 conf=0.700 gap=0.550
[2026-05-12 18:40:09] #1742/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.896 conf=0.700 gap=0.500
[2026-05-12 18:40:19] #1743/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 18:40:28] #1744/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 18:40:44] #1745/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.769 conf=0.800 gap=0.730
[2026-05-12 18:40:53] #1746/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 18:41:08] #1747/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 18:41:25] #1748/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 18:41:33] #1749/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 18:41:42] #1750/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 18:41:53] #1751/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 18:42:03] #1752/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 18:42:13] #1753/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 18:42:34] #1754/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 18:42:44] #1755/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 18:42:55] #1756/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 18:43:03] #1757/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:43:12] #1758/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 18:43:21] #1759/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 18:43:31] #1760/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 18:43:31]   [1760/1989] acc=1317/1760=75% filt=1708
[2026-05-12 18:43:50] #1761/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 18:44:00] #1762/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 18:44:07] #1763/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 18:44:17] #1764/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 18:44:26] #1765/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:44:38] #1766/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.806 conf=0.750 gap=0.580
[2026-05-12 18:44:47] #1767/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:44:58] #1768/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 18:45:16] #1769/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 18:45:59] #1770/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.813 conf=0.700 gap=0.520
[2026-05-12 18:46:09] #1771/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 18:46:20] #1772/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 18:46:43] #1773/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 18:47:02] #1774/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 18:47:16] #1775/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.975 conf=0.700 gap=0.550
[2026-05-12 18:47:25] #1776/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 18:47:35] #1777/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 18:47:43] #1778/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 18:47:58] #1779/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.713 conf=0.800 gap=0.680
[2026-05-12 18:48:07] #1780/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 18:48:07]   [1780/1989] acc=1336/1780=75% filt=1728
[2026-05-12 18:48:27] #1781/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 18:48:39] #1782/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
